Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
249,2001,4,113,Ben Hamilton\HamiBe20,G,24,DEN,2002,2010,0,0,7,51,118,110,Minnesota,College Stats
250,2001,5,135,Victor Leyva\LeyvVi20,G,23,CIN,2002,2002,0,0,0,1,10,0,Arizona St.,College Stats
251,2001,5,144,Marques Sullivan\SullMa20,G,23,BUF,2001,2003,0,0,1,11,32,22,Illinois,
252,2001,6,170,Chad Ward,G,,JAX,,,0,0,0,,,,Washington,
253,2001,7,203,Paul Zukauskas\ZukaPa20,G,22,CLE,2001,2004,0,0,1,11,43,18,Boston Col.,College Stats
254,2001,7,217,Tupe Peko\PekoTu20,G,22,NYJ,2003,2004,0,0,0,8,27,9,Michigan St.,
255,2001,7,219,Kynan Forney\FornKy20,G,22,ATL,2001,2009,0,0,5,39,98,89,Hawaii,
256,2001,7,220,Rick DeMulling\DeMuRi20,G,24,IND,2001,2007,0,0,3,31,81,53,Idaho,
257,2000,2,37,Travis Claridge\ClarTr20,G,22,ATL,2000,2003,0,0,3,23,52,49,USC,
258,2000,2,46,Adrian Klemm\KlemAd20,G,23,NWE,2000,2005,0,0,0,10,42,18,Hawaii,
259,2000,2,51,Cosey Coleman\ColeCo21,G,21,TAM,2000,2006,0,0,6,34,100,92,Tennessee,College Stats
260,2000,2,61,Bobbie Williams\WillBo21,G,23,PHI,2001,2012,0,0,9,52,163,136,Arkansas,
261,2000,4,112,Cooper Carlisle\CarlCo20,G,23,DEN,2000,2012,0,0,8,53,190,133,Florida,
262,2000,4,129,Michael Moore\MoorMi20,G,23,WAS,2000,2004,0,0,0,1,8,2,Troy,
263,2000,5,131,Tutan Reyes\ReyeTu20,G,22,NOR,2001,2008,0,0,2,20,53,37,Mississippi,
264,2000,5,138,Matt Johnson,G,,IND,,,0,0,0,,,,BYU,
265,2000,5,148,Richard Mercier,G,,BAL,,,0,0,0,,,,Miami (FL),
266,2000,6,182,Jeno James\JameJe20,G,23,CAR,2000,2006,0,0,4,27,94,67,Auburn,
267,2000,6,188,Darnell Alford\AlfoDa20,G,23,KAN,2000,2001,0,0,0,0,3,0,Boston Col.,
268,2000,7,207,Manuia Savea,G,,CLE,,,0,0,0,,,,Arizona,
269,2000,7,220,Andrew Kline,G,,STL,,,0,0,0,,,,San Diego St.,
270,2000,7,222,Jason Thomas\ThomJa20,G,23,SDG,2002,2003,0,0,0,1,14,0,Hampton,
