Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
174,2014,1,9,Anthony Barr\BarrAn00,LB,22,MIN,2014,2019,0,4,5,47,85,85,2,15.0,UCLA,College Stats
175,2014,1,15,Ryan Shazier\ShazRy00,LB,22,PIT,2014,2017,0,2,3,27,46,41,7,7.0,Ohio St.,College Stats
176,2014,1,17,C.J. Mosley\MoslC.00,LB,22,BAL,2014,2019,0,4,5,61,79,79,10,8.5,Alabama,College Stats
177,2014,1,23,Dee Ford\FordDe00,LB,23,KAN,2014,2019,0,1,2,23,78,43,,37.0,Auburn,College Stats
178,2014,1,26,Marcus Smith\SmitMa03,LB,22,PHI,2014,2018,0,0,0,3,53,0,,6.5,Louisville,College Stats
179,2014,2,40,Kyle Van Noy\VanNKy00,LB,23,DET,2014,2019,0,0,4,35,81,52,2,17.5,BYU,College Stats
180,2014,2,47,Trent Murphy\MurpTr00,LB,23,WAS,2014,2019,0,0,4,29,76,49,1,24.0,Stanford,College Stats
181,2014,2,50,Jeremiah Attaochu\AttaJe00,LB,21,SDG,2014,2019,0,0,1,12,61,18,,15.5,Georgia Tech,College Stats
182,2014,3,71,Christian Kirksey\KirkCh00,LB,22,CLE,2014,2019,0,0,2,25,73,54,2,11.5,Iowa,College Stats
183,2014,3,73,Preston Brown\BrowPr00,LB,21,BUF,2014,2019,0,0,6,34,81,77,5,1.0,Louisville,College Stats
184,2014,3,77,Chris Borland\BorlCh00,LB,23,SFO,2014,2014,0,0,1,6,14,8,2,1.0,Wisconsin,College Stats
185,2014,4,119,Anthony Hitchens\HitcAn00,LB,22,DAL,2014,2019,0,0,5,33,90,78,1,5.5,Iowa,College Stats
186,2014,4,121,Carl Bradford\BradCa01,LB,22,GNB,2014,2016,0,0,0,0,6,0,,,Arizona St.,College Stats
187,2014,4,126,Khairi Fortt\FortKh00,LB,22,NOR,2014,2014,0,0,0,0,3,0,,,California,College Stats
188,2014,4,132,Kevin Pierre-Louis\PierKe00,LB,22,SEA,2014,2019,0,0,0,7,71,4,1,1.0,Boston Col.,College Stats
