Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Devin Smith*\devin-smith-2,Ohio State,Big Ten,14,33,931,28.2,12,0,0,,0,33,931,28.2,12
2,Phillip Dorsett*\phillip-dorsett-1,Miami (FL),ACC,12,36,871,24.2,10,2,-6,-3.0,0,38,865,22.8,10
3,Chris Moore*\chris-moore-4,Cincinnati,American,11,30,673,22.4,8,0,0,,0,30,673,22.4,8
4,Sammie Coates*\sammie-coates-1,Auburn,SEC,12,34,741,21.8,4,0,0,,0,34,741,21.8,4
5,Ian Hamilton*\ian-hamilton-1,UTEP,CUSA,12,27,579,21.4,2,0,0,,0,27,579,21.4,2
6,Breshad Perriman*\breshad-perriman-1,UCF,American,13,50,1044,20.9,9,1,0,0.0,0,51,1044,20.5,9
7,Travin Dural*\travin-dural-1,LSU,SEC,13,37,758,20.5,7,10,111,11.1,0,47,869,18.5,7
8,Deandre Smelter*\deandre-smelter-1,Georgia Tech,ACC,10,35,715,20.4,7,3,103,34.3,1,38,818,21.5,8
9,Glenn Coleman\glenn-coleman-1,Florida International,CUSA,11,23,468,20.3,3,2,4,2.0,0,25,472,18.9,3
10,Devante Parker*\devante-parker-1,Louisville,ACC,6,43,855,19.9,5,0,0,,0,43,855,19.9,5
11,Leonte Carroo*\leonte-carroo-1,Rutgers,Big Ten,13,55,1086,19.7,10,0,0,,0,55,1086,19.7,10
12,Carlos Henderson*\carlos-henderson-1,Louisiana Tech,CUSA,12,29,569,19.6,4,13,72,5.5,0,42,641,15.3,4
13,Rokeem Williams\rokeem-williams-1,Miami (OH),MAC,10,35,682,19.5,3,5,4,0.8,0,40,686,17.2,3
14,Mario Hull*\mario-hull-1,Rice,CUSA,11,32,621,19.4,8,0,0,,0,32,621,19.4,8
15,Thomas Duarte*\thomas-duarte-1,UCLA,Pac-12,10,28,540,19.3,4,0,0,,0,28,540,19.3,4
16,Darius Jennings\darius-jennings-1,Virginia,ACC,12,27,521,19.3,2,24,115,4.8,1,51,636,12.5,3
