Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Willis Wright\willis-wright-1,Florida International,Sun Belt,12,25,633,25.3,5,,,,,25,633,25.3,5
2,Jamal Robinson*\jamal-robinson-3,Louisiana,Sun Belt,12,25,627,25.1,3,,,,,25,627,25.1,3
3,Tavarres King*\tavarres-king-1,Georgia,SEC,14,42,950,22.6,9,1,0,0.0,0,43,950,22.1,9
4,Robert Herron\robert-herron-1,Wyoming,MWC,8,31,657,21.2,8,4,10,2.5,0,35,667,19.1,8
5,Devin Smith\devin-smith-2,Ohio State,Big Ten,12,30,618,20.6,6,1,2,2.0,0,31,620,20.0,6
6,Titus Davis*\titus-davis-1,Central Michigan,MAC,12,43,860,20.0,8,3,6,2.0,0,46,866,18.8,8
7,Blake Jackson*\blake-jackson-1,Oklahoma State,Big 12,13,30,598,19.9,3,,,,,30,598,19.9,3
8,A.J. Barker*\aj-barker-1,Minnesota,Big Ten,8,30,577,19.2,7,,,,,30,577,19.2,7
9,Jordan Leslie\jordan-leslie-1,UTEP,CUSA,12,51,973,19.1,6,1,-4,-4.0,0,52,969,18.6,6
10,Corey Fuller*\corey-fuller-2,Virginia Tech,ACC,13,43,815,19.0,6,1,10,10.0,0,44,825,18.8,6
11,Terrance Williams*\terrance-williams-2,Baylor,Big 12,13,97,1832,18.9,12,2,14,7.0,0,99,1846,18.6,12
12,Marcus Davis*\marcus-davis-1,Virginia Tech,ACC,13,51,953,18.7,5,5,72,14.4,0,56,1025,18.3,5
13,Roy Roundtree*\roy-roundtree-1,Michigan,Big Ten,13,31,580,18.7,3,,,,,31,580,18.7,3
14,Uzoma Nwachukwu*\uzoma-nwachukwu-1,Texas A&M,SEC,13,26,485,18.7,7,,,,,26,485,18.7,7
15,Devante Parker*\devante-parker-1,Louisville,Big East,13,40,744,18.6,10,,,,,40,744,18.6,10
16,Tevin Reese*\tevin-reese-1,Baylor,Big 12,13,53,957,18.1,9,4,21,5.3,0,57,978,17.2,9
17,Rannell Hall*\rannell-hall-1,UCF,CUSA,14,35,631,18.0,4,1,3,3.0,0,36,634,17.6,4
18,Clive Walford\clive-walford-1,Miami (FL),ACC,12,25,451,18.0,4,,,,,25,451,18.0,4
19,Brelan Chancellor\brelan-chancellor-1,North Texas,Sun Belt,8,25,450,18.0,5,16,155,9.7,2,41,605,14.8,7
20,L'Damian Washington\ldamian-washington-1,Missouri,SEC,12,25,443,17.7,2,,,,,25,443,17.7,2
21,Marlon Brown*\marlon-brown-1,Georgia,SEC,8,27,469,17.4,4,,,,,27,469,17.4,4
22,Kenny Bell*\kenny-bell-2,Nebraska,Big Ten,14,50,863,17.3,8,2,8,4.0,0,52,871,16.8,8
23,Brandin Cooks*\brandin-cooks-1,Oregon State,Pac-12,13,67,1151,17.2,5,19,82,4.3,0,86,1233,14.3,5
24,Deandre Hopkins*\deandre-hopkins-1,Clemson,ACC,13,82,1405,17.1,18,,,,,82,1405,17.1,18
25,Alonzo Russell*\alonzo-russell-1,Toledo,MAC,13,56,960,17.1,5,,,,,56,960,17.1,5
26,Jared Abbrederis*\jared-abbrederis-1,Wisconsin,Big Ten,13,49,837,17.1,5,8,83,10.4,0,57,920,16.1,5
27,Marcus Leak\marcus-leak-1,Maryland,ACC,7,23,393,17.1,2,1,1,1.0,0,24,394,16.4,2
28,Jacob Younger\jacob-younger-1,Florida International,Sun Belt,10,23,392,17.0,3,,,,,23,392,17.0,3
29,Amari Cooper*\amari-cooper-1,Alabama,SEC,14,59,1000,16.9,11,,,,,59,1000,16.9,11
30,Jeremy Gallon*\jeremy-gallon-1,Michigan,Big Ten,13,49,829,16.9,4,11,67,6.1,0,60,896,14.9,4
31,Cordarrelle Patterson\cordarrelle-patterson-1,Tennessee,SEC,12,46,778,16.9,5,25,308,12.3,3,71,1086,15.3,8
32,Thomas Roberson*\thomas-roberson-1,Tulsa,CUSA,14,29,489,16.9,4,,,,,29,489,16.9,4
33,Austin Hill*\austin-hill-1,Arizona,Pac-12,13,81,1364,16.8,11,,,,,81,1364,16.8,11
34,Austin Franklin\austin-franklin-1,New Mexico State,WAC,12,74,1245,16.8,9,10,39,3.9,0,84,1284,15.3,9
35,Brandon Coleman*\brandon-coleman-2,Rutgers,Big East,13,43,718,16.7,10,,,,,43,718,16.7,10
36,Darryl Surgent*\darryl-surgent-1,Louisiana,Sun Belt,13,34,569,16.7,3,3,-2,-0.7,0,37,567,15.3,3
37,Ryan Griffin\ryan-griffin-1,Connecticut,Big East,12,29,484,16.7,6,,,,,29,484,16.7,6
38,Odell Beckham Jr.*\odell-beckham-jr-1,LSU,SEC,13,43,713,16.6,2,,,,,43,713,16.6,2
39,Mike Davis*\mike-davis-2,Texas,Big 12,13,57,939,16.5,7,,,,,57,939,16.5,7
40,Rashad Ross*\rashad-ross-1,Arizona State,Pac-12,13,37,610,16.5,6,1,3,3.0,0,38,613,16.1,6
41,Kelvin Benjamin*\kelvin-benjamin-1,Florida State,ACC,14,30,495,16.5,4,2,33,16.5,0,32,528,16.5,4
42,Isaiah Battle\isaiah-battle-1,Texas State,WAC,8,26,428,16.5,3,11,68,6.2,0,37,496,13.4,3
43,Brandon Carter*\brandon-carter-3,Texas Christian,Big 12,12,36,590,16.4,6,4,10,2.5,0,40,600,15.0,6
44,Jace Amaro*\jace-amaro-1,Texas Tech,Big 12,7,25,409,16.4,4,,,,,25,409,16.4,4
45,Chip Reeves\chip-reeves-1,Troy,Sun Belt,12,65,1050,16.2,6,1,7,7.0,0,66,1057,16.0,6
46,Mike Edwards\mike-edwards-4,UTEP,CUSA,11,51,820,16.1,8,6,45,7.5,0,57,865,15.2,8
47,Dom Williams\dom-williams-1,Washington State,Pac-12,11,34,546,16.1,3,,,,,34,546,16.1,3
48,Dominique Williams\dominique-williams-3,Washington State,Pac-12,11,34,546,16.1,3,,,,,34,546,16.1,3
49,Kenny Shaw*\kenny-shaw-1,Florida State,ACC,14,33,532,16.1,3,,,,,33,532,16.1,3
50,Travis Kelce*\travis-kelce-1,Cincinnati,Big East,13,45,722,16.0,8,,,,,45,722,16.0,8
51,Shaun Joplin*\shaun-joplin-1,Bowling Green State,MAC,13,40,639,16.0,4,1,5,5.0,0,41,644,15.7,4
52,Noel Grigsby*\noel-grigsby-1,San Jose State,WAC,13,82,1307,15.9,9,1,4,4.0,0,83,1311,15.8,9
53,Mike Shanahan*\mike-shanahan-1,Pitt,Big East,13,62,983,15.9,6,,,,,62,983,15.9,6
54,Chad Bumphis*\chad-bumphis-1,Mississippi State,SEC,13,58,922,15.9,12,3,0,0.0,0,61,922,15.1,12
55,Kenbrell Thompkins*\kenbrell-thompkins-1,Cincinnati,Big East,13,34,541,15.9,2,,,,,34,541,15.9,2
56,Anthony McClung*\anthony-mcclung-1,Cincinnati,Big East,12,34,539,15.9,2,3,7,2.3,0,37,546,14.8,2
57,Kevin Norwood*\kevin-norwood-1,Alabama,SEC,13,29,461,15.9,4,,,,,29,461,15.9,4
58,Cody Latimer\cody-latimer-1,Indiana,Big Ten,12,51,805,15.8,6,,,,,51,805,15.8,6
59,Emory Blake\emory-blake-1,Auburn,SEC,12,50,789,15.8,3,,,,,50,789,15.8,3
60,Ryan Otten*\ryan-otten-1,San Jose State,WAC,13,47,742,15.8,4,,,,,47,742,15.8,4
61,Andrell Smith*\andrell-smith-1,Louisville,Big East,13,34,536,15.8,3,,,,,34,536,15.8,3
62,Davaris Daniels*\davaris-daniels-1,Notre Dame,Ind,11,31,490,15.8,0,,,,,31,490,15.8,0
63,Stefon Diggs\stefon-diggs-1,Maryland,ACC,11,54,848,15.7,6,20,114,5.7,0,74,962,13.0,6
64,Colt Lyerla*\colt-lyerla-1,Oregon,Pac-12,13,25,392,15.7,6,13,77,5.9,1,38,469,12.3,7
65,Alex Neutz\alex-neutz-1,Buffalo,MAC,11,65,1015,15.6,11,,,,,65,1015,15.6,11
66,Marquess Wilson\marquess-wilson-1,Washington State,Pac-12,9,52,813,15.6,5,,,,,52,813,15.6,5
67,Quintin Payton*\quintin-payton-1,North Carolina State,ACC,13,51,798,15.6,2,,,,,51,798,15.6,2
68,Tyler Lockett*\tyler-lockett-1,Kansas State,Big 12,13,44,687,15.6,4,7,55,7.9,0,51,742,14.5,4
69,Eric Ebron\eric-ebron-1,North Carolina,ACC,11,40,625,15.6,4,,,,,40,625,15.6,4
70,Mychal Rivera\mychal-rivera-1,Tennessee,SEC,12,36,562,15.6,5,,,,,36,562,15.6,5
71,Taylor Stockemer*\taylor-stockemer-1,Arkansas State,Sun Belt,10,31,483,15.6,3,,,,,31,483,15.6,3
72,Nick Kasa\nick-kasa-1,Colorado,Pac-12,12,25,391,15.6,3,,,,,25,391,15.6,3
73,Alex Amidon\alex-amidon-1,Boston College,ACC,12,78,1210,15.5,7,4,55,13.8,1,82,1265,15.4,8
74,William Dukes\william-dukes-1,Florida Atlantic,Sun Belt,12,63,979,15.5,4,1,-1,-1.0,0,64,978,15.3,4
75,Chris Boyd*\chris-boyd-1,Vanderbilt,SEC,13,50,774,15.5,5,,,,,50,774,15.5,5
76,Kerwynn Williams*\kerwynn-williams-1,Utah State,WAC,13,45,697,15.5,5,218,1512,6.9,15,263,2209,8.4,20
77,Charlie Moore*\charlie-moore-1,Oklahoma State,Big 12,13,35,542,15.5,6,,,,,35,542,15.5,6
78,Jackie Williams\jackie-williams-1,UAB,CUSA,12,52,799,15.4,1,,,,,52,799,15.4,1
79,Javone Lawson*\javone-lawson-1,Louisiana,Sun Belt,11,40,616,15.4,5,,,,,40,616,15.4,5
80,Josh Huff*\josh-huff-1,Oregon,Pac-12,11,32,493,15.4,7,,,,,32,493,15.4,7
81,Justyn Shackelford\justyn-shackelford-1,Tulane,CUSA,9,28,431,15.4,2,,,,,28,431,15.4,2
82,Corey Besteda\corey-besteda-1,South Alabama,Sun Belt,12,28,430,15.4,2,,,,,28,430,15.4,2
83,Blake Hammond\blake-hammond-1,Western Michigan,MAC,11,25,386,15.4,4,,,,,25,386,15.4,4
84,Eric Monette\eric-monette-1,Western Michigan,MAC,9,41,629,15.3,5,1,1,1.0,0,42,630,15.0,5
85,Zach Rogers\zach-rogers-1,Tennessee,SEC,12,32,491,15.3,7,,,,,32,491,15.3,7
86,Matt Austin*\matt-austin-2,Utah State,WAC,13,48,729,15.2,5,,,,,48,729,15.2,5
87,Ryan Grant\ryan-grant-2,Tulane,CUSA,12,76,1149,15.1,6,,,,,76,1149,15.1,6
88,Tyler Futrell*\tyler-futrell-1,Ohio,MAC,12,28,422,15.1,2,1,-10,-10.0,0,29,412,14.2,2
89,Patrick Hearn\patrick-hearn-1,UAB,CUSA,10,42,628,15.0,3,,,,,42,628,15.0,3
90,Bruce Ellington*\bruce-ellington-1,South Carolina,SEC,13,40,600,15.0,7,5,28,5.6,0,45,628,14.0,7
91,Kale Pick\kale-pick-1,Kansas,Big 12,11,26,390,15.0,0,2,5,2.5,0,28,395,14.1,0
92,Alec Lemon*\alec-lemon-1,Syracuse,Big East,12,72,1070,14.9,7,4,13,3.3,1,76,1083,14.3,8
93,Dawan Scott\dawan-scott-1,Miami (OH),MAC,11,57,851,14.9,7,15,80,5.3,1,72,931,12.9,8
94,Isaiah Burse*\isaiah-burse-1,Fresno State,MWC,13,57,851,14.9,6,7,39,5.6,1,64,890,13.9,7
95,Kofi Hughes\kofi-hughes-1,Indiana,Big Ten,11,43,639,14.9,3,,,,,43,639,14.9,3
96,Justin Collins\justin-collins-2,Western Michigan,MAC,10,27,401,14.9,5,,,,,27,401,14.9,5
97,Cobi Hamilton\cobi-hamilton-1,Arkansas,SEC,12,90,1335,14.8,5,,,,,90,1335,14.8,5
98,Justin Hunter\justin-hunter-1,Tennessee,SEC,12,73,1083,14.8,9,,,,,73,1083,14.8,9
99,Donte Moncrief*\donte-moncrief-1,Ole Miss,SEC,13,66,979,14.8,10,,,,,66,979,14.8,10
100,Je'Ron Hamm*\jeron-hamm-1,Louisiana-Monroe,Sun Belt,13,62,915,14.8,6,,,,,62,915,14.8,6
101,Chris Harper*\chris-harper-2,Kansas State,Big 12,13,58,857,14.8,3,0,-7,,0,58,850,14.7,3
102,Chuck Jacobs*\chuck-jacobs-1,Utah State,WAC,13,41,608,14.8,5,3,-7,-2.3,0,44,601,13.7,5
103,Johnathan Coleman\johnathan-coleman-1,Boston College,ACC,12,33,489,14.8,4,2,2,1.0,0,35,491,14.0,4
104,Josh Lenz*\josh-lenz-1,Iowa State,Big 12,10,31,459,14.8,6,,,,,31,459,14.8,6
105,Shane Ros\shane-ros-1,Houston,CUSA,11,23,337,14.7,3,2,3,1.5,0,25,340,13.6,3
