Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Mack Hollins*\mack-hollins-1,North Carolina,ACC,13,30,745,24.8,8,0,0,,0,30,745,24.8,8
2,Shelton Gibson*\shelton-gibson-1,West Virginia,Big 12,12,37,887,24.0,9,0,0,,0,37,887,24.0,9
3,Cody Thompson*\cody-thompson-1,Toledo,MAC,12,37,825,22.3,5,0,0,,0,37,825,22.3,5
4,Josh Magee\josh-magee-1,South Alabama,Sun Belt,12,23,504,21.9,3,1,-2,-2.0,0,24,502,20.9,3
5,Chris Moore*\chris-moore-4,Cincinnati,American,11,40,870,21.8,7,2,10,5.0,0,42,880,21.0,7
6,Ricky Jeune\ricky-jeune-1,Georgia Tech,ACC,11,24,520,21.7,4,0,0,,0,24,520,21.7,4
7,Carlos Henderson*\carlos-henderson-1,Louisiana Tech,CUSA,11,36,774,21.5,5,5,54,10.8,0,41,828,20.2,5
8,Bryce Treggs*\bryce-treggs-1,California,Pac-12,13,45,956,21.2,7,0,0,,0,45,956,21.2,7
9,Terry Pettis*\terry-pettis-2,Middle Tennessee State,CUSA,12,29,612,21.1,4,0,0,,0,29,612,21.1,4
10,Leonte Carroo\leonte-carroo-1,Rutgers,Big Ten,8,39,809,20.7,10,0,0,,0,39,809,20.7,10
11,Jamir Tillman*\jamir-tillman-1,Navy,American,12,29,597,20.6,5,2,10,5.0,0,31,607,19.6,5
12,Garrett Brown*\garrett-brown-2,Air Force,MWC,14,27,557,20.6,1,35,259,7.4,1,62,816,13.2,2
13,James Washington*\james-washington-5,Oklahoma State,Big 12,13,53,1087,20.5,10,1,10,10.0,0,54,1097,20.3,10
14,William Fuller*\william-fuller-2,Notre Dame,Ind,13,62,1258,20.3,14,0,0,,0,62,1258,20.3,14
15,Jerome Lane*\jerome-lane-1,Akron,MAC,12,39,782,20.1,8,0,0,,0,39,782,20.1,8
16,Jay Lee*\jay-lee-1,Baylor,Big 12,13,38,758,19.9,8,1,-1,-1.0,0,39,757,19.4,8
17,Kolby Listenbee*\kolby-listenbee-1,Texas Christian,Big 12,10,30,597,19.9,5,1,11,11.0,0,31,608,19.6,5
18,Michael Thomas*\michael-thomas-6,Southern Mississippi,CUSA,13,71,1391,19.6,14,0,0,,0,71,1391,19.6,14
19,Antonio Callaway*\antonio-callaway-1,Florida,SEC,14,35,678,19.4,4,3,19,6.3,0,38,697,18.3,4
