Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
406,Kenny Harrison\kenny-harrison-3,UTSA,CUSA,11,23,201,8.7,0,1,3,3.0,0,24,204,8.5,0
407,Trey Watts\trey-watts-1,Tulsa,CUSA,12,46,395,8.6,1,268,1329,5.0,11,314,1724,5.5,12
408,Richard Smith*\richard-smith-4,Arizona State,Pac-12,13,32,276,8.6,2,7,78,11.1,0,39,354,9.1,2
409,Lance Ray*\lance-ray-1,East Carolina,CUSA,12,28,237,8.5,3,0,0,,0,28,237,8.5,3
410,Laquon Treadwell*\laquon-treadwell-1,Ole Miss,SEC,13,72,608,8.4,5,3,2,0.7,0,75,610,8.1,5
411,Spencer Harris\spencer-harris-1,Illinois,Big Ten,10,39,328,8.4,1,0,0,,0,39,328,8.4,1
412,Brandon Miller\brandon-miller-3,Wyoming,MWC,11,23,193,8.4,2,83,385,4.6,3,106,578,5.5,5
413,Tommylee Lewis*\tommylee-lewis-1,Northern Illinois,MAC,12,86,715,8.3,3,30,356,11.9,1,116,1071,9.2,4
414,Justin Sinz\justin-sinz-1,Purdue,Big Ten,12,41,340,8.3,4,1,9,9.0,0,42,349,8.3,4
415,Joshua Bowen\joshua-bowen-1,New Mexico State,Ind,10,39,324,8.3,2,0,0,,0,39,324,8.3,2
416,Jon Davis\jon-davis-3,Illinois,Big Ten,11,25,208,8.3,2,9,36,4.0,0,34,244,7.2,2
417,Terron Ward*\terron-ward-1,Oregon State,Pac-12,13,34,280,8.2,3,113,521,4.6,5,147,801,5.4,8
418,David Fluellen\david-fluellen-1,Toledo,MAC,9,27,222,8.2,0,167,1121,6.7,10,194,1343,6.9,10
419,J.D. McKissic*\jd-mckissic-1,Arkansas State,Sun Belt,13,82,662,8.1,4,18,139,7.7,1,100,801,8.0,5
420,B.J. Chitty\bj-chitty-1,Troy,Sun Belt,9,23,187,8.1,1,2,11,5.5,0,25,198,7.9,1
421,Rickey Galvin*\rickey-galvin-1,Washington State,Pac-12,13,39,311,8.0,4,0,0,,0,39,311,8.0,4
422,Samajie Grant*\samajie-grant-1,Arizona,Pac-12,12,47,373,7.9,1,1,0,0.0,0,48,373,7.8,1
423,Deandre Washington*\deandre-washington-1,Texas Tech,Big 12,12,34,269,7.9,0,107,450,4.2,4,141,719,5.1,4
424,James Poole\james-poole-1,Utah,Pac-12,12,29,229,7.9,0,149,607,4.1,2,178,836,4.7,2
425,Darius Joseph\darius-joseph-1,SMU,American,12,103,808,7.8,5,1,-1,-1.0,0,104,807,7.8,5
426,Kirby Moore*\kirby-moore-1,Boise State,MWC,6,36,280,7.8,2,0,0,,0,36,280,7.8,2
427,Jawon Chisholm\jawon-chisholm-1,Akron,MAC,12,27,211,7.8,1,189,869,4.6,8,216,1080,5.0,9
428,Trevone Boykin\trevone-boykin-1,Texas Christian,Big 12,12,26,204,7.8,0,105,313,3.0,7,131,517,3.9,7
429,Sean McQuillan\sean-mcquillan-1,Connecticut,American,7,25,196,7.8,1,0,0,,0,25,196,7.8,1
430,Tyre'Oune Holmes\tyreoune-holmes-1,Southern Mississippi,CUSA,10,53,410,7.7,2,4,3,0.8,0,57,413,7.2,2
431,James White*\james-white-2,Wisconsin,Big Ten,13,39,300,7.7,2,221,1444,6.5,13,260,1744,6.7,15
432,Jordan Thompson\jordan-thompson-2,West Virginia,Big 12,10,23,178,7.7,0,1,6,6.0,0,24,184,7.7,0
433,Marcus Mason*\marcus-mason-2,Washington State,Pac-12,13,52,390,7.5,2,87,429,4.9,2,139,819,5.9,4
434,D.J. Banks\dj-banks-1,Louisiana Tech,CUSA,11,36,262,7.3,0,7,46,6.6,0,43,308,7.2,0
435,Jordan Bergstrom\jordan-bergstrom-1,New Mexico State,Ind,9,30,206,6.9,0,2,9,4.5,0,32,215,6.7,0
436,Roderick McDowell*\roderick-mcdowell-1,Clemson,ACC,13,29,199,6.9,2,189,1025,5.4,5,218,1224,5.6,7
437,Branden Oliver*\branden-oliver-1,Buffalo,MAC,12,25,173,6.9,1,310,1535,5.0,15,335,1708,5.1,16
438,Jabari Carr\jabari-carr-1,San Jose State,MWC,6,25,173,6.9,0,0,0,,0,25,173,6.9,0
439,Bruce Natson*\bruce-natson-1,Utah State,MWC,14,59,395,6.7,2,28,98,3.5,3,87,493,5.7,5
440,Ka'Deem Carey*\kadeem-carey-1,Arizona,Pac-12,12,26,173,6.7,1,349,1885,5.4,19,375,2058,5.5,20
441,James Sims\james-sims-2,Kansas,Big 12,12,25,166,6.6,0,230,1110,4.8,7,255,1276,5.0,7
442,Brendan Bigelow\brendan-bigelow-1,California,Pac-12,12,34,202,5.9,0,105,421,4.0,2,139,623,4.5,2
443,Joshua Quezada*\joshua-quezada-1,Fresno State,MWC,13,51,290,5.7,1,155,807,5.2,6,206,1097,5.3,7
444,Taquan Mizzell\taquan-mizzell-1,Virginia,ACC,10,29,164,5.7,1,45,184,4.1,1,74,348,4.7,2
445,Jeremy Langford*\jeremy-langford-1,Michigan State,Big Ten,14,28,157,5.6,1,292,1422,4.9,18,320,1579,4.9,19
446,Tim Cornett*\tim-cornett-1,UNLV,MWC,13,30,164,5.5,0,264,1284,4.9,15,294,1448,4.9,15
447,Khalek Shepherd\khalek-shepherd-1,Virginia,ACC,11,23,125,5.4,0,51,304,6.0,1,74,429,5.8,1
448,Brandon Burks\brandon-burks-1,Troy,Sun Belt,12,36,188,5.2,0,133,664,5.0,2,169,852,5.0,2
449,Teondray Caldwell*\teondray-caldwell-1,Washington State,Pac-12,13,26,130,5.0,0,50,271,5.4,1,76,401,5.3,1
450,Rajion Neal\rajion-neal-1,Tennessee,SEC,12,27,108,4.0,0,215,1124,5.2,12,242,1232,5.1,12
