Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Xavier Ubosi*\xavier-ubosi-1,UAB,CUSA,13,35,837,23.9,8,0,0,,0,35,837,23.9,8
2,Emanuel Hall*\emanuel-hall-1,Missouri,SEC,8,37,828,22.4,6,0,0,,0,37,828,22.4,6
3,Hakeem Butler*\hakeem-butler-1,Iowa State,Big 12,13,60,1318,22.0,9,0,0,,0,60,1318,22.0,9
4,D.K. Metcalf\dk-metcalf-1,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,26,569,21.9,5
5,Justyn Ross*\justyn-ross-1,Clemson,ACC,14,46,1000,21.7,9,0,0,,0,46,1000,21.7,9
6,Tamorrion Terry\tamorrion-terry-1,Florida State,ACC,12,35,744,21.3,8,0,0,,0,35,744,21.3,8
7,Josh Palmer\josh-palmer-1,Tennessee,SEC,12,23,484,21.0,2,5,27,5.4,1,28,511,18.3,3
8,Darnell Mooney*\darnell-mooney-1,Tulane,American,13,48,993,20.7,8,1,6,6.0,0,49,999,20.4,8
9,Randall St. Felix*\randall-st-felix-1,South Florida,American,10,33,679,20.6,4,0,0,,0,33,679,20.6,4
10,Jon'Vea Johnson*\jonvea-johnson-1,Toledo,MAC,13,32,660,20.6,9,0,0,,0,32,660,20.6,9
11,Tre Turner*\tre-turner-2,Virginia Tech,ACC,12,26,535,20.6,4,8,101,12.6,1,34,636,18.7,5
12,Seth Williams*\seth-williams-1,Auburn,SEC,10,26,534,20.5,5,0,0,,0,26,534,20.5,5
13,D'Wayne Eskridge*\dwayne-eskridge-1,Western Michigan,MAC,11,38,776,20.4,3,0,0,,0,38,776,20.4,3
14,Austin Maloney*\austin-maloney-1,Florida International,CUSA,11,30,610,20.3,5,0,0,,0,30,610,20.3,5
15,Terry McLaurin*\terry-mclaurin-1,Ohio State,Big Ten,12,35,701,20.0,11,0,0,,0,35,701,20.0,11
16,Marcus Bennett\marcus-bennett-1,Air Force,MWC,10,24,465,19.4,3,0,2,,0,24,467,19.5,3
17,Jerry Jeudy*\jerry-jeudy-1,Alabama,SEC,15,68,1315,19.3,14,0,0,,0,68,1315,19.3,14
18,Darius Slayton*\darius-slayton-1,Auburn,SEC,11,35,670,19.1,5,0,0,,0,35,670,19.1,5
19,Jaylen Waddle*\jaylen-waddle-1,Alabama,SEC,15,45,848,18.8,7,0,0,,0,45,848,18.8,7
20,Joe Reed*\joe-reed-4,Virginia,ACC,13,25,465,18.6,7,3,15,5.0,0,28,480,17.1,7
21,Michael Pittman Jr.\michael-pittman-jr-1,USC,Pac-12,10,41,758,18.5,6,1,9,9.0,0,42,767,18.3,6
22,Jaylen Dixon*\jaylen-dixon-1,Utah,Pac-12,11,32,589,18.4,2,1,-3,-3.0,0,33,586,17.8,2
23,Tre Walker\tre-walker-3,San Jose State,MWC,9,39,714,18.3,5,1,0,0.0,0,40,714,17.9,5
24,Rashad Medaris*\rashad-medaris-1,Cincinnati,American,10,26,472,18.2,3,0,0,,0,26,472,18.2,3
25,Shawn Poindexter\shawn-poindexter-1,Arizona,Pac-12,12,42,759,18.1,11,0,0,,0,42,759,18.1,11
26,Tony Ellison\tony-ellison-1,Arizona,Pac-12,10,29,525,18.1,6,1,-7,-7.0,0,30,518,17.3,6
27,KJ Hamler*\kj-hamler-1,Penn State,Big Ten,13,42,754,18.0,5,4,44,11.0,1,46,798,17.3,6
28,CeeDee Lamb*\ceedee-lamb-1,Oklahoma,Big 12,14,65,1158,17.8,11,0,0,,0,65,1158,17.8,11
29,Jamal Custis*\jamal-custis-1,Syracuse,ACC,13,51,906,17.8,6,1,-5,-5.0,0,52,901,17.3,6
30,Anthony Johnson*\anthony-johnson-13,Buffalo,MAC,12,57,1011,17.7,11,0,0,,0,57,1011,17.7,11
31,Marquise Brown*\marquise-brown-1,Oklahoma,Big 12,12,75,1318,17.6,10,2,0,0.0,0,77,1318,17.1,10
32,Corey Sutton*\corey-sutton-2,Appalachian State,Sun Belt,13,44,773,17.6,10,0,0,,0,44,773,17.6,10
33,Aaren Vaughns*\aaren-vaughns-1,Utah State,MWC,13,33,581,17.6,5,12,100,8.3,0,45,681,15.1,5
34,Matt Bushman*\matt-bushman-1,Brigham Young,Ind,11,29,511,17.6,2,0,0,,0,29,511,17.6,2
35,Darnell Salomon*\darnell-salomon-1,South Florida,American,8,25,440,17.6,4,0,0,,0,25,440,17.6,4
36,McLane Mannix*\mclane-mannix-1,Nevada,MWC,12,50,875,17.5,7,3,25,8.3,0,53,900,17.0,7
37,Tylan Wallace*\tylan-wallace-1,Oklahoma State,Big 12,13,86,1491,17.3,12,1,6,6.0,1,87,1497,17.2,13
38,Jace Sternberger*\jace-sternberger-1,Texas A&M,SEC,13,48,832,17.3,10,1,4,4.0,0,49,836,17.1,10
39,Keith Corbin*\keith-corbin-1,Houston,American,12,40,691,17.3,10,4,5,1.3,0,44,696,15.8,10
40,Travis Fulgham\travis-fulgham-1,Old Dominion,CUSA,12,63,1083,17.2,9,0,0,,0,63,1083,17.2,9
41,Marcus Green\marcus-green-6,Louisiana-Monroe,Sun Belt,12,50,855,17.1,8,20,193,9.7,1,70,1048,15.0,9
