,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
83,Arthur Jackson III*\arthur-jackson-iii-1,Eastern Michigan,MAC,12,46,732,15.9,7,0,0,,0,46,732,15.9,7
84,Kobay White*\kobay-white-1,Boston College,ACC,12,29,460,15.9,5,4,19,4.8,0,33,479,14.5,5
85,Ronnie Bell*\ronnie-bell-3,Michigan,Big Ten,12,48,758,15.8,1,1,9,9.0,0,49,767,15.7,1
86,Randal Grimes\randal-grimes-1,UNLV,MWC,10,44,696,15.8,7,0,0,,0,44,696,15.8,7
87,Erik Ezukanma\erik-ezukanma-1,Texas Tech,Big 12,11,42,664,15.8,4,0,0,,0,42,664,15.8,4
88,Tavaris Harrison*\tavaris-harrison-1,Florida Atlantic,CUSA,13,33,523,15.8,2,0,0,,0,33,523,15.8,2
89,Tyler Ringwood*\tyler-ringwood-1,Charlotte,CUSA,11,25,395,15.8,5,0,0,,0,25,395,15.8,5
90,Chase Claypool*\chase-claypool-1,Notre Dame,Ind,13,66,1037,15.7,13,0,0,,0,66,1037,15.7,13
91,Siaosi Mariner*\siaosi-mariner-1,Utah State,MWC,13,63,987,15.7,10,0,0,,0,63,987,15.7,10
92,Skyy Moore*\skyy-moore-1,Western Michigan,MAC,13,51,802,15.7,3,1,2,2.0,1,52,804,15.5,4
93,Jalen McCleskey*\jalen-mccleskey-1,Tulane,American,13,37,581,15.7,4,1,-1,-1.0,0,38,580,15.3,4
94,Isaiah McKoy*\isaiah-mckoy-1,Kent State,MAC,11,56,872,15.6,8,0,0,,0,56,872,15.6,8
95,Bailey Gaither\bailey-gaither-1,San Jose State,MWC,12,52,812,15.6,6,0,0,,0,52,812,15.6,6
96,Kedarian Jones*\kedarian-jones-1,Memphis,American,14,39,609,15.6,4,2,10,5.0,0,41,619,15.1,4
97,Dalton Schoen*\dalton-schoen-1,Kansas State,Big 12,13,37,579,15.6,4,1,4,4.0,0,38,583,15.3,4
98,Juwan Johnson*\juwan-johnson-1,Oregon,Pac-12,8,30,467,15.6,4,0,0,,0,30,467,15.6,4
99,Trishton Jackson\trishton-jackson-1,Syracuse,ACC,12,66,1023,15.5,11,2,3,1.5,0,68,1026,15.1,11
100,Denzel Mims*\denzel-mims-1,Baylor,Big 12,13,66,1020,15.5,12,0,0,,0,66,1020,15.5,12
101,Harrison Bryant*\harrison-bryant-1,Florida Atlantic,CUSA,13,65,1004,15.4,7,0,0,,0,65,1004,15.4,7
102,Tyler Johnson*\tyler-johnson-6,Minnesota,Big Ten,13,86,1318,15.3,13,1,-1,-1.0,0,87,1317,15.1,13
103,Branden Mack*\branden-mack-1,Temple,American,13,59,904,15.3,7,2,14,7.0,0,61,918,15.0,7
104,Quintez Cephus*\quintez-cephus-1,Wisconsin,Big Ten,14,59,901,15.3,7,0,0,,0,59,901,15.3,7
105,Sage Surratt*\sage-surratt-1,Wake Forest,ACC,9,66,1001,15.2,11,0,0,,0,66,1001,15.2,11
106,Dontay Demus\dontay-demus-1,Maryland,Big Ten,12,41,625,15.2,6,1,4,4.0,0,42,629,15.0,6
107,Cary Angeline\cary-angeline-1,North Carolina State,ACC,9,25,379,15.2,5,0,0,,0,25,379,15.2,5
108,Jerry Jeudy*\jerry-jeudy-1,Alabama,SEC,13,77,1163,15.1,10,1,1,1.0,0,78,1164,14.9,10
109,Ja'Marcus Bradley*\jamarcus-bradley-1,Louisiana,Sun Belt,13,60,906,15.1,10,0,0,,0,60,906,15.1,10
110,Taj Harris\taj-harris-1,Syracuse,ACC,11,37,559,15.1,2,2,25,12.5,0,39,584,15.0,2
111,Tony Poljan*\tony-poljan-1,Central Michigan,MAC,12,33,496,15.0,4,0,0,,0,33,496,15.0,4
112,Aaron Moore\aaron-moore-4,Old Dominion,CUSA,7,26,389,15.0,3,0,0,,0,26,389,15.0,3
113,Darnell Mooney*\darnell-mooney-1,Tulane,American,13,48,713,14.9,5,0,0,,0,48,713,14.9,5
114,Mathew Sexton*\mathew-sexton-1,Eastern Michigan,MAC,11,34,508,14.9,4,5,14,2.8,0,39,522,13.4,4
115,Trevon Grimes*\trevon-grimes-1,Florida,SEC,13,33,491,14.9,3,1,-4,-4.0,0,34,487,14.3,3
116,George Pickens*\george-pickens-1,Georgia,SEC,12,49,727,14.8,8,0,0,,0,49,727,14.8,8
117,Romeo Doubs*\romeo-doubs-1,Nevada,MWC,10,44,649,14.8,4,1,-1,-1.0,0,45,648,14.4,4
118,Jonathan Nance\jonathan-nance-1,Missouri,SEC,12,31,458,14.8,4,1,4,4.0,0,32,462,14.4,4
119,Osirus Mitchell*\osirus-mitchell-1,Mississippi State,SEC,10,29,430,14.8,6,0,0,,0,29,430,14.8,6
120,Tre Walker\tre-walker-3,San Jose State,MWC,10,79,1161,14.7,2,0,0,,0,79,1161,14.7,2
121,Johnny Johnson III*\johnny-johnson-iii-1,Oregon,Pac-12,13,57,836,14.7,7,0,0,,0,57,836,14.7,7
122,Corey Sutton*\corey-sutton-2,Appalachian State,Sun Belt,9,41,601,14.7,7,0,0,,0,41,601,14.7,7
123,Collin Johnson*\collin-johnson-2,Texas,Big 12,7,38,559,14.7,3,0,0,,0,38,559,14.7,3
124,Jimmy Marshall\jimmy-marshall-2,Middle Tennessee State,CUSA,11,35,513,14.7,6,0,0,,0,35,513,14.7,6
125,Malik Knowles*\malik-knowles-1,Kansas State,Big 12,11,27,397,14.7,3,7,70,10.0,0,34,467,13.7,3
126,Jeremy Singleton\jeremy-singleton-1,Houston,American,12,26,381,14.7,3,0,0,,0,26,381,14.7,3
127,Matt Bushman*\matt-bushman-1,Brigham Young,Ind,12,47,688,14.6,4,0,0,,0,47,688,14.6,4
128,Terrace Marshall Jr.*\terrace-marshall-jr-1,LSU,SEC,12,46,671,14.6,13,0,0,,0,46,671,14.6,13
129,Devin Asiasi\devin-asiasi-1,UCLA,Pac-12,12,44,641,14.6,4,0,0,,0,44,641,14.6,4
130,Cameron Dollar*\cameron-dollar-1,Charlotte,CUSA,12,41,599,14.6,2,1,-5,-5.0,0,42,594,14.1,2
131,Jordan Duncan*\jordan-duncan-1,California,Pac-12,10,25,364,14.6,2,0,0,,0,25,364,14.6,2
132,Warren Jackson\warren-jackson-2,Colorado State,MWC,10,77,1119,14.5,8,0,0,,0,77,1119,14.5,8
133,RJ Turner\rj-turner-1,Texas Tech,Big 12,10,45,654,14.5,3,0,0,,0,45,654,14.5,3
134,Drake London*\drake-london-1,USC,Pac-12,8,39,567,14.5,5,0,0,,0,39,567,14.5,5
135,Tray Eafford\tray-eafford-1,Troy,Sun Belt,8,23,334,14.5,3,0,0,,0,23,334,14.5,3
136,Beau Corrales*\beau-corrales-1,North Carolina,ACC,11,40,575,14.4,6,0,0,,0,40,575,14.4,6
137,Lawrence Cager*\lawrence-cager-1,Georgia,SEC,8,33,476,14.4,4,0,0,,0,33,476,14.4,4
138,Garrett Wilson*\garrett-wilson-2,Ohio State,Big Ten,13,30,432,14.4,5,0,0,,0,30,432,14.4,5
139,Whop Philyor*\whop-philyor-1,Indiana,Big Ten,12,70,1002,14.3,5,10,43,4.3,0,80,1045,13.1,5
140,Nate Stewart\nate-stewart-1,Akron,MAC,10,37,529,14.3,3,0,0,,0,37,529,14.3,3
141,Dalton Rigdon\dalton-rigdon-1,Texas Tech,Big 12,10,34,486,14.3,5,6,12,2.0,0,40,498,12.5,5
142,Champ Flemings\champ-flemings-1,Oregon State,Pac-12,12,32,457,14.3,3,3,18,6.0,0,35,475,13.6,3
143,Devin Carter\devin-carter-1,North Carolina State,ACC,12,32,456,14.3,0,0,0,,0,32,456,14.3,0
144,Joshua Simon*\joshua-simon-1,Western Kentucky,CUSA,12,30,430,14.3,4,0,0,,0,30,430,14.3,4
145,Nate Craig-Myers\nate-craig-myers-1,Colorado State,MWC,9,23,329,14.3,1,0,0,,0,23,329,14.3,1
146,Brandon Arconado*\brandon-arconado-1,Washington State,Pac-12,11,78,1109,14.2,7,0,0,,0,78,1109,14.2,7
147,Hasise Dubois*\hasise-dubois-1,Virginia,ACC,13,75,1062,14.2,6,0,0,,0,75,1062,14.2,6
148,JaCorey Sullivan*\jacorey-sullivan-1,Central Michigan,MAC,12,57,808,14.2,3,0,0,,0,57,808,14.2,3
149,Darrell Stewart Jr.*\darrell-stewart-jr-1,Michigan State,Big Ten,9,49,697,14.2,4,2,-13,-6.5,0,51,684,13.4,4
150,Riley Miller\riley-miller-1,Ball State,MAC,12,43,612,14.2,6,0,0,,0,43,612,14.2,6
151,Jalen Reagor\jalen-reagor-1,Texas Christian,Big 12,12,43,611,14.2,5,14,89,6.4,0,57,700,12.3,5
152,Bo Melton\bo-melton-1,Rutgers,Big Ten,12,30,427,14.2,2,4,22,5.5,0,34,449,13.2,2
153,Amari Rodgers*\amari-rodgers-1,Clemson,ACC,13,30,426,14.2,4,2,50,25.0,1,32,476,14.9,5
154,Dazz Newsome*\dazz-newsome-1,North Carolina,ACC,12,72,1018,14.1,10,3,9,3.0,0,75,1027,13.7,10
155,Seth Williams*\seth-williams-1,Auburn,SEC,12,59,830,14.1,8,0,0,,0,59,830,14.1,8
156,Dante Wright\dante-wright-1,Colorado State,MWC,12,57,805,14.1,4,17,214,12.6,2,74,1019,13.8,6
157,Marlon Williams*\marlon-williams-5,UCF,American,12,51,717,14.1,6,0,0,,0,51,717,14.1,6
158,Brevin Jordan*\brevin-jordan-1,Miami (FL),ACC,9,35,495,14.1,2,1,0,0.0,0,36,495,13.8,2
159,Cody White*\cody-white-3,Michigan State,Big Ten,13,66,922,14.0,6,6,22,3.7,0,72,944,13.1,6
160,Brad Rozner\brad-rozner-1,Rice,CUSA,12,55,770,14.0,5,0,0,,0,55,770,14.0,5
161,Antonio Nunn*\antonio-nunn-1,Buffalo,MAC,12,49,687,14.0,6,0,0,,0,49,687,14.0,6
162,Cole Tucker\cole-tucker-1,Northern Illinois,MAC,12,38,531,14.0,1,0,0,,0,38,531,14.0,1
163,Jalen Wydermyer*\jalen-wydermyer-1,Texas A&M,SEC,12,32,447,14.0,6,0,0,,0,32,447,14.0,6
164,Tyrie Cleveland*\tyrie-cleveland-1,Florida,SEC,12,25,351,14.0,1,0,0,,0,25,351,14.0,1
165,Chase Cota\chase-cota-1,UCLA,Pac-12,11,25,350,14.0,3,0,0,,0,25,350,14.0,3
166,Justin Jefferson*\justin-jefferson-1,LSU,SEC,15,111,1540,13.9,18,0,0,,0,111,1540,13.9,18
167,Jeremiah Knight\jeremiah-knight-1,Akron,MAC,12,31,430,13.9,0,1,3,3.0,0,32,433,13.5,0
168,Zack Moss*\zack-moss-1,Utah,Pac-12,13,28,388,13.9,2,235,1416,6.0,15,263,1804,6.9,17
169,Khalil Shakir*\khalil-shakir-1,Boise State,MWC,14,63,872,13.8,6,19,66,3.5,3,82,938,11.4,9
170,Michael Lawrence\michael-lawrence-1,North Texas,CUSA,12,48,661,13.8,3,0,0,,0,48,661,13.8,3
171,Trey Knox\trey-knox-1,Arkansas,SEC,8,28,385,13.8,3,0,0,,0,28,385,13.8,3
172,Kendall Hinton*\kendall-hinton-1,Wake Forest,ACC,11,73,1001,13.7,4,2,9,4.5,0,75,1010,13.5,4
173,Jonathan Adams Jr.*\jonathan-adams-jr-1,Arkansas State,Sun Belt,13,62,851,13.7,5,0,0,,0,62,851,13.7,5
174,Charlie Kolar*\charlie-kolar-1,Iowa State,Big 12,13,51,697,13.7,7,0,0,,0,51,697,13.7,7
175,Isaiah Hodgins\isaiah-hodgins-1,Oregon State,Pac-12,12,86,1171,13.6,13,0,0,,0,86,1171,13.6,13
176,Brycen Hopkins\brycen-hopkins-1,Purdue,Big Ten,11,61,830,13.6,7,0,0,,0,61,830,13.6,7
177,Laviska Shenault Jr.\laviska-shenault-jr-1,Colorado,Pac-12,11,56,764,13.6,4,23,161,7.0,2,79,925,11.7,6
178,Nick Westbrook*\nick-westbrook-1,Indiana,Big Ten,11,42,572,13.6,5,0,0,,0,42,572,13.6,5
179,Freddie Swain*\freddie-swain-1,Florida,SEC,12,38,517,13.6,7,4,27,6.8,0,42,544,13.0,7
180,Antwan Davis\antwan-davis-2,Ball State,MAC,12,38,516,13.6,3,0,0,,0,38,516,13.6,3
181,Ardell Brown\ardell-brown-1,Connecticut,American,9,27,368,13.6,2,0,0,,0,27,368,13.6,2
182,Amon-Ra St. Brown*\amon-ra-st-brown-1,USC,Pac-12,13,77,1042,13.5,6,7,60,8.6,1,84,1102,13.1,7
183,Nikko Remigio*\nikko-remigio-1,California,Pac-12,10,38,513,13.5,3,3,8,2.7,0,41,521,12.7,3
184,Isaiah Likely\isaiah-likely-1,Coastal Carolina,Sun Belt,12,32,431,13.5,5,0,0,,0,32,431,13.5,5
185,Van Jefferson*\van-jefferson-1,Florida,SEC,12,49,657,13.4,6,1,7,7.0,0,50,664,13.3,6
186,Ty Fryfogle*\ty-fryfogle-1,Indiana,Big Ten,12,45,604,13.4,3,0,0,,0,45,604,13.4,3
187,Jarrin Pierce\jarrin-pierce-1,Middle Tennessee State,CUSA,12,42,562,13.4,4,1,9,9.0,0,43,571,13.3,4
188,Devin Thompkins*\devin-thompkins-1,Utah State,MWC,12,40,536,13.4,4,6,77,12.8,1,46,613,13.3,5
189,Josh Palmer*\josh-palmer-1,Tennessee,SEC,11,34,457,13.4,1,2,4,2.0,0,36,461,12.8,1
190,Deddrick Thomas*\deddrick-thomas-1,Mississippi State,SEC,13,30,401,13.4,2,1,5,5.0,0,31,406,13.1,2
191,Austin Mack*\austin-mack-1,Ohio State,Big Ten,10,27,361,13.4,3,0,0,,0,27,361,13.4,3
192,K.D. Nixon\kd-nixon-1,Colorado,Pac-12,12,35,465,13.3,3,5,19,3.8,0,40,484,12.1,3
193,Rondale Moore\rondale-moore-1,Purdue,Big Ten,4,29,387,13.3,2,3,3,1.0,0,32,390,12.2,2
194,Chris Autman-Bell*\chris-autman-bell-1,Minnesota,Big Ten,13,28,371,13.3,5,0,0,,0,28,371,13.3,5
195,Kevin Shaa*\kevin-shaa-1,Liberty,Ind,9,26,346,13.3,2,0,0,,0,26,346,13.3,2
196,Jhamon Ausbon*\jhamon-ausbon-1,Texas A&M,SEC,13,66,872,13.2,5,0,0,,0,66,872,13.2,5
197,Sam Crawford Jr.\sam-crawford-jr-1,Tulsa,American,11,59,777,13.2,5,0,0,,0,59,777,13.2,5
198,Jesse Matthews*\jesse-matthews-1,San Diego State,MWC,13,48,633,13.2,2,1,7,7.0,0,49,640,13.1,2
199,Josh Pederson\josh-pederson-1,Louisiana-Monroe,Sun Belt,12,43,567,13.2,9,0,0,,0,43,567,13.2,9
200,Devin Duvernay*\devin-duvernay-1,Texas,Big 12,13,106,1386,13.1,9,10,24,2.4,1,116,1410,12.2,10
201,Justyn Ross*\justyn-ross-1,Clemson,ACC,14,66,865,13.1,8,0,0,,0,66,865,13.1,8
202,Dezmon Patmon*\dezmon-patmon-1,Washington State,Pac-12,13,58,762,13.1,8,0,0,,0,58,762,13.1,8
203,Shermar Thornton*\shermar-thornton-1,Florida International,CUSA,12,51,668,13.1,5,0,0,,0,51,668,13.1,5
204,Davontavean Martin*\davontavean-martin-1,Washington State,Pac-12,12,43,564,13.1,4,0,0,,0,43,564,13.1,4
205,Jamal Bell*\jamal-bell-1,Louisiana,Sun Belt,13,34,445,13.1,1,0,0,,0,34,445,13.1,1
206,Mitchell Brinkman\mitchell-brinkman-1,Northern Illinois,MAC,12,34,445,13.1,3,0,0,,0,34,445,13.1,3
207,Zachari Jackson\zachari-jackson-1,Louisiana-Monroe,Sun Belt,12,30,392,13.1,1,0,0,,0,30,392,13.1,1
208,Jared Smart*\jared-smart-1,Hawaii,MWC,15,87,1129,13.0,5,0,0,,0,87,1129,13.0,5
209,Mike Carrigan*\mike-carrigan-1,Kent State,MAC,10,44,570,13.0,5,0,0,,0,44,570,13.0,5
210,Talon Shumway*\talon-shumway-1,Brigham Young,Ind,13,43,561,13.0,4,0,0,,0,43,561,13.0,4
211,T.J. Simmons\tj-simmons-4,West Virginia,Big 12,10,35,455,13.0,4,1,-4,-4.0,0,36,451,12.5,4
212,Tyrice Richie\tyrice-richie-1,Northern Illinois,MAC,11,32,415,13.0,4,5,35,7.0,0,37,450,12.2,4
213,Tayvion Robinson*\tayvion-robinson-1,Virginia Tech,ACC,12,31,404,13.0,1,11,132,12.0,0,42,536,12.8,1
214,Tony Gaiter IV*\tony-gaiter-iv-1,Florida International,CUSA,13,50,647,12.9,4,0,0,,0,50,647,12.9,4
215,Jack Sorenson*\jack-sorenson-1,Miami (OH),MAC,11,44,568,12.9,4,0,0,,0,44,568,12.9,4
216,Josiah Deguara*\josiah-deguara-1,Cincinnati,American,13,39,504,12.9,7,0,2,,1,39,506,13.0,8
217,Carlos Strickland\carlos-strickland-1,UTSA,CUSA,12,38,492,12.9,4,0,0,,0,38,492,12.9,4
218,Zakhari Franklin\zakhari-franklin-1,UTSA,CUSA,9,38,491,12.9,3,0,0,,0,38,491,12.9,3
219,Donovan Peoples-Jones*\donovan-peoples-jones-1,Michigan,Big Ten,11,34,438,12.9,6,2,-7,-3.5,0,36,431,12.0,6
220,Stephen Guidry*\stephen-guidry-1,Mississippi State,SEC,11,30,387,12.9,5,0,0,,0,30,387,12.9,5
221,Ryan Luehrman*\ryan-luehrman-1,Ohio,MAC,12,28,360,12.9,5,0,0,,0,28,360,12.9,5
222,Tarik Black*\tarik-black-1,Michigan,Big Ten,11,25,323,12.9,1,0,0,,0,25,323,12.9,1
223,Andrew Parchment\andrew-parchment-1,Kansas,Big 12,12,65,831,12.8,7,1,0,0.0,0,66,831,12.6,7
224,John Mitchell*\john-mitchell-1,Florida Atlantic,CUSA,14,38,488,12.8,5,0,0,,0,38,488,12.8,5
225,Mike Harley*\mike-harley-1,Miami (FL),ACC,12,38,485,12.8,3,4,22,5.5,0,42,507,12.1,3
226,Sam Pinckney*\sam-pinckney-1,Georgia State,Sun Belt,9,36,460,12.8,5,0,0,,0,36,460,12.8,5
227,Mike Woods\mike-woods-3,Arkansas,SEC,10,33,423,12.8,4,0,0,,0,33,423,12.8,4
228,Taye Barber\taye-barber-1,Texas Christian,Big 12,7,29,372,12.8,0,5,87,17.4,0,34,459,13.5,0
229,Josh Hammond*\josh-hammond-1,Florida,SEC,13,27,346,12.8,2,6,101,16.8,1,33,447,13.5,3
230,Donny Navarro*\donny-navarro-1,Illinois,Big Ten,11,27,345,12.8,2,1,6,6.0,0,28,351,12.5,2
231,Elijah Moore\elijah-moore-1,Ole Miss,SEC,12,67,850,12.7,6,4,-1,-0.3,0,71,849,12.0,6
232,Thomas Hennigan*\thomas-hennigan-1,Appalachian State,Sun Belt,14,61,773,12.7,6,1,4,4.0,0,62,777,12.5,6
233,Quian Williams*\quian-williams-1,Eastern Michigan,MAC,12,52,661,12.7,6,0,0,,0,52,661,12.7,6
234,Adrian Hardy*\adrian-hardy-1,Louisiana Tech,CUSA,10,42,534,12.7,1,0,0,,0,42,534,12.7,1
235,CT Thomas*\ct-thomas-1,Boise State,MWC,13,41,522,12.7,5,2,22,11.0,1,43,544,12.7,6
236,Tre'shon Wolf\treshon-wolf-1,UTEP,CUSA,11,34,433,12.7,2,3,21,7.0,0,37,454,12.3,2
237,Luke Whittemore\luke-whittemore-1,Troy,Sun Belt,12,34,431,12.7,2,0,0,,0,34,431,12.7,2
238,Aaron Young\aaron-young-3,Duke,ACC,10,29,367,12.7,3,0,0,,0,29,367,12.7,3
239,Michael Pittman Jr.*\michael-pittman-jr-1,USC,Pac-12,13,101,1275,12.6,11,0,0,,0,101,1275,12.6,11
240,Deangleo Antoine*\deangleo-antoine-1,Florida Atlantic,CUSA,13,61,771,12.6,5,8,146,18.3,1,69,917,13.3,6
241,Tony Brown\tony-brown-9,Colorado,Pac-12,12,56,707,12.6,5,6,33,5.5,1,62,740,11.9,6
242,Giovanni Ricci*\giovanni-ricci-1,Western Michigan,MAC,13,51,642,12.6,8,0,0,,0,51,642,12.6,8
243,Caleb Repp*\caleb-repp-1,Utah State,MWC,11,36,455,12.6,4,0,0,,0,36,455,12.6,4
244,T.J. Graham\tj-graham-2,Texas State,Sun Belt,10,28,353,12.6,4,0,0,,0,28,353,12.6,4
245,Khalil McClain\khalil-mcclain-1,Troy,Sun Belt,12,45,562,12.5,7,0,0,,0,45,562,12.5,7
246,Daylon Charlot\daylon-charlot-1,Kansas,Big 12,11,33,413,12.5,2,0,0,,0,33,413,12.5,2
247,D.J. Stubbs*\dj-stubbs-1,Liberty,Ind,13,32,401,12.5,3,1,-12,-12.0,0,33,389,11.8,3
248,Mitchell Wilcox\mitchell-wilcox-1,South Florida,American,11,28,350,12.5,5,0,0,,0,28,350,12.5,5
249,Tim Jones*\tim-jones-8,Southern Mississippi,CUSA,13,73,902,12.4,3,1,-2,-2.0,0,74,900,12.2,3
250,Blake Proehl\blake-proehl-1,East Carolina,American,12,54,670,12.4,4,0,0,,0,54,670,12.4,4
251,Trey McBride\trey-mcbride-1,Colorado State,MWC,12,45,560,12.4,4,0,0,,0,45,560,12.4,4
252,Line Latu*\line-latu-1,Eastern Michigan,MAC,12,30,373,12.4,3,6,19,3.2,0,36,392,10.9,3
253,Tyler Vaughns*\tyler-vaughns-1,USC,Pac-12,12,74,912,12.3,6,0,0,,0,74,912,12.3,6
254,La'Michael Pettway*\lamichael-pettway-1,Iowa State,Big 12,12,55,676,12.3,6,0,0,,0,55,676,12.3,6
255,Colby Parkinson\colby-parkinson-1,Stanford,Pac-12,12,48,589,12.3,1,0,0,,0,48,589,12.3,1
256,Markis McCray\markis-mccray-1,Louisiana-Monroe,Sun Belt,12,47,580,12.3,6,9,84,9.3,0,56,664,11.9,6
257,Keenen Johnson\keenen-johnson-1,Tulsa,American,12,46,568,12.3,3,0,0,,0,46,568,12.3,3
258,T.J. Vasher\tj-vasher-1,Texas Tech,Big 12,10,42,515,12.3,6,0,0,,0,42,515,12.3,6
259,Jake Ferguson*\jake-ferguson-1,Wisconsin,Big Ten,14,33,407,12.3,2,0,0,,0,33,407,12.3,2
260,Peter LeBlanc*\peter-leblanc-1,Louisiana,Sun Belt,14,28,344,12.3,4,0,0,,0,28,344,12.3,4
261,Elijah Cooks*\elijah-cooks-1,Nevada,MWC,13,76,926,12.2,8,0,0,,0,76,926,12.2,8
262,Jeff Thomas*\jeff-thomas-6,Miami (FL),ACC,10,31,379,12.2,3,7,41,5.9,0,38,420,11.1,3
263,Gunner Romney*\gunner-romney-1,Brigham Young,Ind,12,31,377,12.2,2,1,6,6.0,0,32,383,12.0,2
264,Lucky Jackson*\lucky-jackson-1,Western Kentucky,CUSA,13,94,1133,12.1,4,1,15,15.0,0,95,1148,12.1,4
265,Austin Trammell\austin-trammell-1,Rice,CUSA,12,60,726,12.1,4,2,13,6.5,0,62,739,11.9,4
266,Cameron Ross\cameron-ross-2,Connecticut,American,11,60,723,12.1,4,3,27,9.0,0,63,750,11.9,4
267,Micah Simon*\micah-simon-1,Brigham Young,Ind,13,51,616,12.1,2,5,47,9.4,2,56,663,11.8,4
268,Thaddeus Moss*\thaddeus-moss-1,LSU,SEC,12,47,570,12.1,4,0,0,,0,47,570,12.1,4
269,David Bell\david-bell-6,Purdue,Big Ten,12,86,1035,12.0,7,3,12,4.0,1,89,1047,11.8,8
270,Terrell Jana*\terrell-jana-1,Virginia,ACC,14,73,878,12.0,3,0,0,,0,73,878,12.0,3
271,Michael Wilson\michael-wilson-3,Stanford,Pac-12,12,56,672,12.0,5,0,0,,0,56,672,12.0,5
272,Kyle Pitts*\kyle-pitts-1,Florida,SEC,13,54,649,12.0,5,0,0,,0,54,649,12.0,5
273,Peyton Hendershot*\peyton-hendershot-1,Indiana,Big Ten,13,52,622,12.0,4,1,-4,-4.0,0,53,618,11.7,4
274,Kenny Gainwell*\kenny-gainwell-1,Memphis,American,14,51,610,12.0,3,231,1459,6.3,13,282,2069,7.3,16
275,Armani Levias*\armani-levias-1,Marshall,CUSA,13,46,553,12.0,3,0,0,,0,46,553,12.0,3
276,Cole Kmet*\cole-kmet-1,Notre Dame,Ind,10,43,515,12.0,6,0,0,,0,43,515,12.0,6
