Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Jalen Robinette*\jalen-robinette-1,Air Force,MWC,12,35,959,27.4,6,0,0,,0,35,959,27.4,6
2,Jester Weah*\jester-weah-1,Pitt,ACC,13,36,870,24.2,10,0,0,,0,36,870,24.2,10
3,Jaylen Smith*\jaylen-smith-1,Louisville,ACC,12,27,599,22.2,6,0,0,,0,27,599,22.2,6
4,Shelton Gibson*\shelton-gibson-1,West Virginia,Big 12,13,43,951,22.1,8,2,29,14.5,0,45,980,21.8,8
5,Olabisi Johnson*\olabisi-johnson-1,Colorado State,MWC,11,28,613,21.9,4,1,13,13.0,0,29,626,21.6,4
6,Jeff Badet*\jeff-badet-1,Kentucky,SEC,13,31,670,21.6,4,1,25,25.0,0,32,695,21.7,4
7,Micah Holder*\micah-holder-1,San Diego State,MWC,10,27,581,21.5,5,0,0,,0,27,581,21.5,5
8,Cedric Wilson*\cedric-wilson-3,Boise State,MWC,12,56,1129,20.2,11,3,7,2.3,0,59,1136,19.3,11
9,Cody Thompson*\cody-thompson-1,Toledo,MAC,13,64,1269,19.8,11,0,0,,0,64,1269,19.8,11
10,Dieuly Aristilde*\dieuly-aristilde-1,Eastern Michigan,MAC,5,25,492,19.7,2,0,0,,0,25,492,19.7,2
11,James Washington*\james-washington-5,Oklahoma State,Big 12,13,71,1380,19.4,10,4,28,7.0,0,75,1408,18.8,10
12,Josh Malone*\josh-malone-1,Tennessee,SEC,13,50,972,19.4,11,0,0,,0,50,972,19.4,11
13,Deangelo Yancey\deangelo-yancey-1,Purdue,Big Ten,12,49,951,19.4,10,0,0,,0,49,951,19.4,10
14,Stephen Louis*\stephen-louis-1,North Carolina State,ACC,12,35,678,19.4,2,1,3,3.0,0,36,681,18.9,2
15,Jon'Vea Johnson*\jonvea-johnson-1,Toledo,MAC,12,40,773,19.3,10,0,0,,0,40,773,19.3,10
16,Jalen Williams\jalen-williams-3,Massachusetts,Ind,10,27,520,19.3,6,0,0,,0,27,520,19.3,6
