Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Aaron Cephus\aaron-cephus-1,Rice,CUSA,10,25,622,24.9,5,0,0,,0,25,622,24.9,5
2,Emanuel Hall*\emanuel-hall-1,Missouri,SEC,10,33,817,24.8,8,0,0,,0,33,817,24.8,8
3,Byron Pringle*\byron-pringle-1,Kansas State,Big 12,12,30,724,24.1,6,1,15,15.0,0,31,739,23.8,6
4,Damion Ratley*\damion-ratley-1,Texas A&M,SEC,12,30,694,23.1,6,0,0,,0,30,694,23.1,6
5,Darius Slayton*\darius-slayton-1,Auburn,SEC,11,29,643,22.2,5,0,0,,0,29,643,22.2,5
6,D.J. Chark*\dj-chark-1,LSU,SEC,13,40,874,21.9,3,12,63,5.3,1,52,937,18.0,4
7,Ricky Jeune\ricky-jeune-1,Georgia Tech,ACC,11,25,545,21.8,6,1,30,30.0,0,26,575,22.1,6
8,Arkeel Newsome\arkeel-newsome-1,Connecticut,American,10,25,541,21.6,2,67,261,3.9,3,92,802,8.7,5
9,Kwadarrius Smith*\kwadarrius-smith-1,Akron,MAC,11,34,726,21.4,7,0,0,,0,34,726,21.4,7
10,James Washington*\james-washington-5,Oklahoma State,Big 12,13,74,1549,20.9,13,3,12,4.0,1,77,1561,20.3,14
11,Jamire Jordan*\jamire-jordan-1,Fresno State,MWC,13,27,562,20.8,3,1,-7,-7.0,0,28,555,19.8,3
12,Chris Jones\chris-jones-17,Coastal Carolina,Sun Belt,10,26,536,20.6,4,4,45,11.3,0,30,581,19.4,4
13,James Proche*\james-proche-1,SMU,American,12,40,816,20.4,6,0,0,,0,40,816,20.4,6
14,Andre Levrone*\andre-levrone-1,Virginia,ACC,12,34,689,20.3,7,0,0,,0,34,689,20.3,7
15,Tre'Quan Smith*\trequan-smith-1,UCF,American,13,59,1171,19.8,13,5,23,4.6,1,64,1194,18.7,14
16,James Gardner\james-gardner-1,Miami (OH),MAC,11,47,927,19.7,11,0,0,,0,47,927,19.7,11
17,Marcell Ateman*\marcell-ateman-1,Oklahoma State,Big 12,13,59,1156,19.6,8,0,0,,0,59,1156,19.6,8
18,Tyler Johnson\tyler-johnson-6,Minnesota,Big Ten,10,35,677,19.3,7,0,0,,0,35,677,19.3,7
19,Marquise Brown*\marquise-brown-1,Oklahoma,Big 12,13,57,1095,19.2,7,1,0,0.0,0,58,1095,18.9,7
20,Cody Thompson*\cody-thompson-1,Toledo,MAC,5,28,537,19.2,4,0,0,,0,28,537,19.2,4
21,Tyree McCants*\tyree-mccants-1,South Florida,American,11,36,686,19.1,7,1,30,30.0,0,37,716,19.4,7
22,Marcus Simms*\marcus-simms-1,West Virginia,Big 12,12,35,663,18.9,5,1,-1,-1.0,0,36,662,18.4,5
23,Datrin Guyton\datrin-guyton-1,Bowling Green State,MAC,11,31,585,18.9,2,0,0,,0,31,585,18.9,2
24,T.J. Vasher*\tj-vasher-1,Texas Tech,Big 12,9,29,545,18.8,6,0,0,,0,29,545,18.8,6
25,Terren Encalade\terren-encalade-1,Tulane,American,12,39,730,18.7,4,4,91,22.8,1,43,821,19.1,5
26,Tyrie Cleveland\tyrie-cleveland-1,Florida,SEC,9,22,410,18.6,2,2,6,3.0,0,24,416,17.3,2
27,Malcolm Williams\malcolm-williams-4,Coastal Carolina,Sun Belt,11,43,793,18.4,7,12,54,4.5,0,55,847,15.4,7
28,Jordan Lasley*\jordan-lasley-1,UCLA,Pac-12,9,69,1264,18.3,9,4,-6,-1.5,0,73,1258,17.2,9
29,Cedric Wilson*\cedric-wilson-3,Boise State,MWC,14,83,1511,18.2,7,9,13,1.4,0,92,1524,16.6,7
30,RJ Turner\rj-turner-1,Louisiana-Monroe,Sun Belt,10,38,693,18.2,6,1,9,9.0,0,39,702,18.0,6
31,Anthony Ratliff-Williams\anthony-ratliff-williams-1,North Carolina,ACC,12,35,630,18.0,6,1,1,1.0,0,36,631,17.5,6
32,Devonte Boyd\devonte-boyd-1,UNLV,MWC,11,34,612,18.0,3,0,0,,0,34,612,18.0,3
33,Anthony Johnson\anthony-johnson-13,Buffalo,MAC,12,76,1356,17.8,14,4,-5,-1.3,0,80,1351,16.9,14
34,Denzel Mims\denzel-mims-1,Baylor,Big 12,12,61,1087,17.8,8,1,-6,-6.0,0,62,1081,17.4,8
35,Trevon Brown\trevon-brown-1,East Carolina,American,12,60,1069,17.8,7,2,16,8.0,0,62,1085,17.5,7
36,Turner Smiley*\turner-smiley-1,North Texas,CUSA,11,35,623,17.8,5,0,0,,0,35,623,17.8,5
37,Adonis Jennings*\adonis-jennings-1,Temple,American,13,42,742,17.7,7,2,22,11.0,0,44,764,17.4,7
38,Johnathon Johnson*\johnathon-johnson-2,Missouri,SEC,13,41,724,17.7,6,1,0,0.0,0,42,724,17.2,6
39,C.J. Johnson*\cj-johnson-4,Wyoming,MWC,12,30,531,17.7,7,2,15,7.5,0,32,546,17.1,7
40,Darnell Mooney\darnell-mooney-1,Tulane,American,11,34,599,17.6,4,0,0,,0,34,599,17.6,4
41,Rhashid Bonnette*\rhashid-bonnette-1,Louisiana Tech,CUSA,10,33,582,17.6,2,1,3,3.0,0,34,585,17.2,2
42,CeeDee Lamb*\ceedee-lamb-1,Oklahoma,Big 12,13,46,807,17.5,7,0,0,,0,46,807,17.5,7
43,Papi White*\papi-white-1,Ohio,MAC,9,36,631,17.5,3,4,46,11.5,0,40,677,16.9,3
44,Jalen Reagor*\jalen-reagor-1,Texas Christian,Big 12,14,33,576,17.5,8,8,65,8.1,0,41,641,15.6,8
45,Diontae Johnson*\diontae-johnson-1,Toledo,MAC,14,74,1278,17.3,13,2,9,4.5,0,76,1287,16.9,13
46,Anthony Mahoungou*\anthony-mahoungou-1,Purdue,Big Ten,12,40,688,17.2,8,0,0,,0,40,688,17.2,8
47,Kamathi Holsey\kamathi-holsey-1,Buffalo,MAC,8,32,548,17.1,1,0,0,,0,32,548,17.1,1
48,DaMarkus Lodge\damarkus-lodge-1,Ole Miss,SEC,12,41,698,17.0,7,0,0,,0,41,698,17.0,7
49,Jester Weah\jester-weah-1,Pitt,ACC,11,41,698,17.0,4,0,2,,0,41,700,17.1,4
50,Hakeem Butler*\hakeem-butler-1,Iowa State,Big 12,13,41,697,17.0,7,0,0,,0,41,697,17.0,7
51,Jalen Harvey*\jalen-harvey-2,Arizona State,Pac-12,11,33,558,16.9,1,1,2,2.0,0,34,560,16.5,1
52,D'Wayne Eskridge\dwayne-eskridge-1,Western Michigan,MAC,12,30,506,16.9,3,4,13,3.3,0,34,519,15.3,3
53,Marquez Callaway\marquez-callaway-1,Tennessee,SEC,10,24,406,16.9,5,1,4,4.0,0,25,410,16.4,5
54,Terry Godwin*\terry-godwin-1,Georgia,SEC,13,38,639,16.8,6,0,0,,0,38,639,16.8,6
55,A.J. Brown\aj-brown-3,Ole Miss,SEC,11,75,1252,16.7,11,0,0,,0,75,1252,16.7,11
56,Quintez Cephus*\quintez-cephus-1,Wisconsin,Big Ten,10,30,501,16.7,6,4,5,1.3,0,34,506,14.9,6
57,J'Mon Moore*\jmon-moore-2,Missouri,SEC,13,65,1082,16.6,10,0,0,,0,65,1082,16.6,10
58,Marquez Valdes-Scantling*\marquez-valdes-scantling-1,South Florida,American,12,53,879,16.6,6,8,108,13.5,1,61,987,16.2,7
59,D.K. Metcalf\dk-metcalf-1,Ole Miss,SEC,12,39,646,16.6,7,0,0,,0,39,646,16.6,7
60,Ka'Raun White*\karaun-white-1,West Virginia,Big 12,13,61,1004,16.5,12,0,0,,0,61,1004,16.5,12
