Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds,TD,College/Univ,
47,2018,2,40,Courtland Sutton\SuttCo00,WR,22,DEN,2018,2019,0,1,1,14,32,23,4,16,0,114,1816,10,SMU,College Stats
48,2018,2,44,Dante Pettis\PettDa00,WR,22,SFO,2018,2019,0,0,0,4,23,11,1,-2,0,38,576,7,Washington,College Stats
49,2018,2,47,Christian Kirk\KirkCh01,WR,21,ARI,2018,2019,0,0,2,11,25,20,13,128,0,111,1299,6,Texas A&M,College Stats
50,2018,2,51,Anthony Miller\MillAn02,WR,23,CHI,2018,2019,0,0,1,9,31,11,7,25,0,85,1079,9,Memphis,College Stats
51,2018,2,60,James Washington\WashJa00,WR,22,PIT,2018,2019,0,0,1,8,29,16,,,,60,952,4,Oklahoma St.,College Stats
52,2018,2,61,DJ Chark\CharDJ00,WR,21,JAX,2018,2019,0,1,1,8,26,14,2,20,0,87,1182,8,LSU,College Stats
53,2018,3,81,Michael Gallup\GallMi00,WR,22,DAL,2018,2019,0,0,2,13,30,20,,,,99,1614,8,Colorado St.,College Stats
54,2018,3,91,Tre'Quan Smith\SmitTr03,WR,22,NOR,2018,2019,0,0,2,7,26,13,,,,46,661,10,Central Florida,College Stats
55,2018,4,103,Keke Coutee\CoutKe00,WR,21,HOU,2018,2019,0,0,0,5,15,6,5,14,1,50,541,1,Texas Tech,College Stats
56,2018,4,105,Antonio Callaway\CallAn00,WR,21,CLE,2018,2019,0,0,1,5,20,13,2,7,0,51,675,5,Florida,College Stats
57,2018,4,113,DaeSean Hamilton\HamiDa01,WR,23,DEN,2018,2019,0,0,0,4,30,7,,,,58,540,3,Penn St.,College Stats
58,2018,4,132,Jaleel Scott\ScotJa02,WR,23,BAL,2019,2019,0,0,0,0,3,0,,,,1,6,0,New Mexico St.,College Stats
59,2018,4,133,J'Mon Moore\MoorJM00,WR,23,GNB,2018,2018,0,0,0,0,12,0,,,,2,15,0,Missouri,College Stats
60,2018,5,144,Justin Watson\WatsJu01,WR,23,TAM,2018,2019,0,0,0,1,28,2,,,,16,164,2,Pennsylvania,
61,2018,5,159,Daurice Fountain\FounDa00,WR,22,IND,2018,2018,0,0,0,0,1,0,,,,,,,Northern Iowa,
62,2018,5,162,Jordan Lasley\LaslJo00,WR,21,BAL,,,0,0,0,,,,,,,,,,UCLA,College Stats
63,2018,5,174,Marquez Valdes-Scantling\ValdMa00,WR,23,GNB,2018,2019,0,0,2,8,32,20,4,38,0,64,1033,4,South Florida,College Stats
64,2018,6,175,Damion Ratley\RatlDa00,WR,23,CLE,2018,2019,0,0,0,3,26,6,,,,25,344,1,Texas A&M,College Stats
65,2018,6,185,Deon Cain\CainDe00,WR,22,IND,2019,2019,0,0,0,1,13,6,,,,9,124,0,Clemson,College Stats
66,2018,6,187,Ray-Ray McCloud\McClRa00,WR,21,BUF,2018,2019,0,0,0,0,16,1,2,4,0,5,36,0,Clemson,College Stats
67,2018,6,191,Dylan Cantrell\CantDy00,WR,24,LAC,,,0,0,0,,,,,,,,,,Texas Tech,College Stats
68,2018,6,194,Russell Gage\GageRu00,WR,22,ATL,2018,2019,0,0,0,5,31,4,4,12,0,55,509,1,LSU,College Stats
69,2018,6,196,Tremon Smith\SmitTr04,WR,22,KAN,2018,2019,0,0,0,1,22,1,,,,,,,Central Arkansas,
70,2018,6,207,Equanimeous St. Brown\St.BEq00,WR,21,GNB,2018,2018,0,0,1,2,12,7,1,5,0,21,328,0,Notre Dame,College Stats
71,2018,6,208,Cedrick Wilson\WilsCe01,WR,22,DAL,2019,2019,0,0,0,0,6,0,,,,5,46,0,Boise St.,College Stats
72,2018,6,210,Braxton Berrios\BerrBr00,WR,22,NWE,2019,2019,0,0,0,1,16,0,,,,6,115,0,Miami (FL),College Stats
73,2018,7,224,Javon Wims\WimsJa00,WR,23,CHI,2018,2019,0,0,0,1,20,6,,,,22,218,1,Georgia,College Stats
74,2018,7,228,Marcell Ateman\AtemMa00,WR,23,OAK,2018,2019,0,0,0,2,18,6,,,,20,270,1,Oklahoma St.,College Stats
75,2018,7,240,Richie James\JameRi00,WR,23,SFO,2018,2019,0,0,0,4,29,3,2,-1,0,15,295,2,Middle Tenn. St.,College Stats
76,2018,7,253,Auden Tate\TateAu00,WR,21,CIN,2018,2019,0,0,1,4,19,10,,,,44,610,1,Florida St.,College Stats
77,2018,7,255,Austin Proehl\ProeAu00,WR,22,BUF,,,0,0,0,,,,,,,,,,North Carolina,College Stats
78,2018,7,256,Trey Quinn\QuinTr00,WR,22,WAS,2018,2019,0,0,0,2,15,8,1,0,0,35,273,2,SMU,College Stats
79,2017,1,5,Corey Davis\DaviCo03,WR,22,TEN,2017,2019,0,0,3,14,42,36,6,55,0,142,1867,6,West. Michigan,College Stats
80,2017,1,7,Mike Williams\WillMi07,WR,22,LAC,2017,2019,0,0,1,15,41,21,8,30,1,103,1760,12,Clemson,College Stats
81,2017,1,9,John Ross\RossJo00,WR,22,CIN,2017,2019,0,0,1,5,24,19,8,25,0,49,716,10,Washington,College Stats
82,2017,2,37,Zay Jones\JoneZa00,WR,22,BUF,2017,2019,0,0,2,10,46,34,2,3,0,110,1184,9,East Carolina,College Stats
83,2017,2,40,Curtis Samuel\SamuCu00,WR,21,CAR,2017,2019,0,0,2,12,38,27,31,278,3,108,1236,11,Ohio St.,College Stats
84,2017,2,62,JuJu Smith-Schuster\SmitJu00,WR,20,PIT,2017,2019,0,1,2,24,42,32,1,13,0,211,2895,17,USC,College Stats
85,2017,3,69,Cooper Kupp\KuppCo00,WR,24,LAR,2017,2019,0,0,2,23,39,28,6,29,0,196,2596,21,East. Washington,
86,2017,3,72,Taywan Taylor\TaylTa00,WR,22,TEN,2017,2019,0,0,0,6,32,10,8,43,0,53,697,2,Western Kentucky,College Stats
87,2017,3,79,ArDarius Stewart\StewAr00,WR,23,NYJ,2017,2017,0,0,0,1,15,2,7,27,0,6,82,0,Alabama,College Stats
88,2017,3,82,Carlos Henderson\HendCa01,WR,22,DEN,,,0,0,0,,,,,,,,,,Louisiana Tech,College Stats
89,2017,3,84,Chris Godwin\GodwCh00,WR,21,TAM,2017,2019,0,1,1,19,46,21,1,8,0,179,2700,17,Penn St.,College Stats
90,2017,3,96,Kenny Golladay\GollKe00,WR,23,DET,2017,2019,0,1,2,20,42,34,2,17,0,163,2730,19,Northern Illinois,College Stats
91,2017,3,98,Chad Williams\WillCh05,WR,22,ARI,2017,2019,0,0,1,1,17,8,3,42,0,20,202,1,Grambling St.,
92,2017,3,106,Amara Darboh\DarbAm00,WR,23,SEA,2017,2017,0,0,0,1,16,0,,,,8,71,0,Michigan,College Stats
93,2017,4,110,Dede Westbrook\WestDe00,WR,23,JAX,2017,2019,0,0,1,13,38,25,14,125,0,159,1716,9,Oklahoma,College Stats
94,2017,4,117,Josh Reynolds\ReynJo00,WR,22,LAR,2017,2019,0,0,0,8,48,11,7,31,0,61,832,7,Texas A&M,College Stats
95,2017,4,118,Mack Hollins\HollMa00,WR,23,PHI,2017,2019,0,0,0,3,32,3,,,,26,351,1,North Carolina,College Stats
96,2017,4,128,Josh Malone\MaloJo00,WR,21,CIN,2017,2019,0,0,1,1,22,7,2,2,0,7,75,1,Tennessee,College Stats
97,2017,4,133,Ryan Switzer\SwitRy00,WR,22,DAL,2017,2019,0,0,0,3,41,1,10,26,0,50,321,1,North Carolina,College Stats
98,2017,4,139,Jehu Chesson\ChesJe00,WR,23,KAN,2017,2018,0,0,0,0,24,1,1,-4,0,3,25,0,Michigan,College Stats
99,2017,4,141,Chad Hansen\HansCh00,WR,22,NYJ,2017,2017,0,0,0,1,15,1,,,,9,94,0,California,College Stats
100,2017,5,166,Shelton Gibson\GibsSh00,WR,22,PHI,2017,2018,0,0,0,0,20,0,,,,3,59,0,West Virginia,College Stats
101,2017,5,170,Rodney Adams\AdamRo01,WR,22,MIN,2017,2017,0,0,0,0,1,0,,,,,,,South Florida,College Stats
102,2017,5,172,Isaiah McKenzie\McKeIs00,WR,22,DEN,2017,2019,0,0,1,4,34,9,19,119,2,49,462,1,Georgia,College Stats
103,2017,5,175,DeAngelo Yancey\YancDe00,WR,22,GNB,,,0,0,0,,,,,,,,,,Purdue,College Stats
104,2017,5,177,Trent Taylor\TaylTr02,WR,23,SFO,2017,2018,0,0,0,5,29,1,,,,69,645,3,Louisiana Tech,College Stats
105,2017,6,209,Robert Davis\DaviRo00,WR,22,WAS,2017,2019,0,0,0,0,7,3,,,,2,17,0,Georgia St.,College Stats
106,2017,7,219,Stacy Coley\ColeSt00,WR,23,MIN,2017,2018,0,0,0,0,7,0,,,,,,,Miami (FL),College Stats
107,2017,7,226,David Moore\MoorDa03,WR,22,SEA,2017,2019,0,0,1,7,31,8,4,30,0,43,746,7,East Central (OK),
108,2017,7,237,Isaiah Ford\FordIs00,WR,21,MIA,2018,2019,0,0,0,2,9,0,1,11,0,23,244,0,Virginia Tech,College Stats
109,2017,7,239,Noah Brown\BrowNo00,WR,21,DAL,2017,2018,0,0,0,0,21,3,,,,9,87,0,Ohio St.,College Stats
110,2017,7,247,Malachi Dupre\DuprMa01,WR,21,GNB,2018,2018,0,0,0,0,1,0,,,,,,,LSU,College Stats
111,2016,1,15,Corey Coleman\ColeCo00,WR,22,CLE,2016,2018,0,0,2,6,27,19,3,15,0,61,789,5,Baylor,College Stats
112,2016,1,21,Will Fuller\FullWi01,WR,22,HOU,2016,2019,0,0,4,18,42,41,3,6,0,156,2231,16,Notre Dame,College Stats
113,2016,1,22,Josh Doctson\DoctJo00,WR,23,WAS,2016,2019,0,0,2,9,34,26,1,-14,0,81,1100,8,TCU,College Stats
114,2016,1,23,Laquon Treadwell\TreaLa00,WR,21,MIN,2016,2019,0,0,2,6,53,16,,,,65,701,2,Mississippi,College Stats
115,2016,2,40,Sterling Shepard\ShepSt00,WR,23,NYG,2016,2019,0,0,4,21,53,52,16,140,0,247,2862,17,Oklahoma,College Stats
116,2016,2,47,Michael Thomas\ThomMi05,WR,23,NOR,2016,2019,2,3,4,54,63,57,1,-9,0,470,5512,32,Ohio St.,College Stats
117,2016,2,55,Tyler Boyd\BoydTy00,WR,21,CIN,2016,2019,0,0,2,22,56,32,10,84,0,242,2902,15,Pittsburgh,College Stats
118,2016,3,85,Braxton Miller\MillBr03,WR,23,HOU,2016,2017,0,0,1,2,21,9,4,1,0,34,261,2,Ohio St.,College Stats
119,2016,3,86,Leonte Carroo\CarrLe00,WR,22,MIA,2016,2018,0,0,0,2,37,2,1,14,0,12,192,2,Rutgers,College Stats
120,2016,4,107,Chris Moore\MoorCh00,WR,23,BAL,2016,2019,0,0,0,4,58,5,11,27,0,47,511,4,Cincinnati,College Stats
121,2016,4,112,Malcolm Mitchell\MitcMa01,WR,24,NWE,2016,2016,0,0,0,4,14,6,,,,32,401,4,Georgia,College Stats
122,2016,4,114,Ricardo Louis\LouiRi00,WR,22,CLE,2016,2017,0,0,1,3,32,12,,,,45,562,0,Auburn,College Stats
123,2016,4,117,Pharoh Cooper\CoopPh00,WR,21,LAR,2016,2019,1,1,0,5,46,5,2,8,0,50,433,1,South Carolina,College Stats
124,2016,4,126,Demarcus Robinson\RobiDe01,WR,21,KAN,2016,2019,0,0,1,10,64,23,,,,75,949,8,Florida,College Stats
125,2016,5,140,Tajae Sharpe\SharTa00,WR,21,TEN,2016,2019,0,0,3,11,47,29,2,17,0,92,1167,8,Massachusetts,College Stats
126,2016,5,154,Jordan Payton\PaytJo00,WR,23,CLE,2016,2016,0,0,0,0,4,0,,,,1,3,0,UCLA,College Stats
127,2016,5,163,Trevor Davis\DaviTr03,WR,23,GNB,2016,2019,0,0,0,2,43,4,6,86,1,16,205,1,California,College Stats
128,2016,5,165,Tyreek Hill\HillTy00,WR,22,KAN,2016,2019,2,4,3,47,59,42,71,500,4,281,4115,32,West Alabama,
129,2016,5,172,Rashard Higgins\HiggRa00,WR,21,CLE,2016,2019,0,0,0,6,54,6,1,4,0,76,1016,7,Colorado St.,College Stats
130,2016,6,180,Moritz Boehringer\BoehMo00,WR,22,MIN,,,0,0,0,,,,,,,,,,,
131,2016,6,186,Jakeem Grant\GranJa00,WR,23,MIA,2016,2019,0,0,0,9,52,4,9,23,1,53,635,4,Texas Tech,College Stats
132,2016,6,192,Kolby Listenbee\ListKo00,WR,22,BUF,,,0,0,0,,,,,,,,,,TCU,College Stats
133,2016,6,199,Cody Core\CoreCo00,WR,22,CIN,2016,2019,0,0,0,3,51,7,,,,33,388,1,Mississippi,College Stats
134,2016,6,206,Mike Thomas\ThomMi04,WR,22,LAR,2016,2019,0,0,0,1,40,1,,,,10,144,0,Southern Miss,College Stats
135,2016,6,213,Aaron Burbridge\BurbAa00,WR,22,SFO,2016,2016,0,0,0,1,16,3,,,,7,88,0,Michigan St.,College Stats
136,2016,7,225,Devin Lucien\LuciDe00,WR,23,NWE,,,0,0,0,,,,,,,,,,Arizona St.,College Stats
137,2016,7,229,Demarcus Ayers\AyerDe00,WR,22,PIT,2016,2016,0,0,0,0,2,1,2,-12,0,6,53,1,Houston,College Stats
138,2016,7,230,Daniel Braverman\BravDa00,WR,22,CHI,2016,2016,0,0,0,0,3,0,,,,,,,West. Michigan,College Stats
139,2016,7,238,Devin Fuller\FullDe00,WR,22,ATL,,,0,0,0,,,,,,,,,,UCLA,College Stats
140,2016,7,241,Charone Peake\PeakCh00,WR,23,NYJ,2016,2018,0,0,0,1,31,1,,,,22,214,0,Clemson,College Stats
141,2016,7,243,Kenny Lawler\LawlKe00,WR,22,SEA,,,0,0,0,,,,,,,,,,California,College Stats
142,2015,1,4,Amari Cooper\CoopAm00,WR,21,OAK,2015,2019,0,4,5,39,77,72,8,27,0,357,5097,33,Alabama,College Stats
143,2015,1,7,Kevin White\WhitKe00,WR,23,CHI,2016,2018,0,0,0,2,14,5,1,9,0,25,285,0,West Virginia,College Stats
144,2015,1,14,DeVante Parker\ParkDe01,WR,22,MIA,2015,2019,0,0,3,23,70,45,,,,235,3419,18,Louisville,College Stats
145,2015,1,20,Nelson Agholor\AghoNe00,WR,22,PHI,2015,2019,0,0,5,21,71,62,11,60,0,224,2515,18,USC,College Stats
146,2015,1,26,Breshad Perriman\PerrBr02,WR,21,BAL,2016,2019,0,0,0,11,51,10,7,20,0,95,1561,11,Central Florida,College Stats
147,2015,1,29,Phillip Dorsett\DorsPh00,WR,22,IND,2015,2019,0,0,0,14,71,15,13,84,0,124,1634,11,Miami (FL),College Stats
148,2015,2,37,Devin Smith\SmitDe04,WR,23,NYJ,2015,2019,0,0,0,2,18,5,,,,15,248,2,Ohio St.,College Stats
149,2015,2,40,Dorial Green-Beckham\GreeDo00,WR,22,TEN,2015,2016,0,0,0,7,31,12,,,,68,941,6,Oklahoma,College Stats
150,2015,3,69,Tyler Lockett\LockTy00,WR,22,SEA,2015,2019,1,1,5,37,79,55,38,256,1,276,3838,27,Kansas St.,College Stats
151,2015,3,70,Jaelen Strong\StroJa01,WR,21,HOU,2015,2017,0,0,0,2,20,3,,,,31,330,4,Arizona St.,College Stats
152,2015,3,76,Chris Conley\ConlCh00,WR,22,KAN,2015,2019,0,0,3,18,69,48,,,,151,2013,11,Georgia,College Stats
153,2015,3,87,Sammie Coates\CoatSa00,WR,22,PIT,2015,2018,0,0,0,4,45,6,4,14,0,29,528,2,Auburn,College Stats
154,2015,3,94,Ty Montgomery\MontTy01,WR,22,GNB,2015,2019,0,0,1,15,58,16,224,1035,7,120,982,3,Stanford,College Stats
155,2015,4,105,Jamison Crowder\CrowJa00,WR,22,WAS,2015,2019,0,0,3,25,72,40,16,68,0,299,3461,20,Duke,College Stats
156,2015,4,107,Justin Hardy\HardJu00,WR,23,ATL,2015,2019,0,0,0,8,73,6,,,,95,946,9,East Carolina,College Stats
157,2015,4,123,Vince Mayle\MaylVi00,WR,24,CLE,2015,2017,0,0,0,0,23,0,2,2,1,,,,Washington St.,College Stats
