Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
71,2007,2,59,Ryan Kalil\KaliRy20,C,22,CAR,2007,2019,2,5,9,75,155,152,USC,College Stats
72,2007,2,60,Samson Satele\SateSa20,C,22,MIA,2007,2014,0,0,8,48,118,114,Hawaii,College Stats
73,2007,4,115,Leroy Harris\HarrLe21,C,23,TEN,2007,2013,0,0,3,21,76,42,North Carolina St.,
74,2007,4,130,Josh Beekman\BeekJo20,C,24,CHI,2007,2009,0,0,1,10,28,20,Boston Col.,College Stats
75,2007,5,139,Dustin Fry\FryxDu20,C,23,STL,2007,2007,0,0,0,0,4,0,Clemson,
76,2007,6,198,Doug Datish,C,,ATL,,,0,0,0,,,,Ohio St.,College Stats
77,2007,6,199,Drew Mormino,C,,MIA,,,0,0,0,,,,Central Michigan,
78,2006,1,29,Nick Mangold\MangNi20,C,22,NYJ,2006,2016,2,7,11,66,164,164,Ohio St.,
79,2006,2,51,Ryan Cook\CookRy20,C,23,MIN,2006,2012,0,0,3,23,90,51,New Mexico,
80,2006,6,198,Greg Eslinger,C,,DEN,,,0,0,0,,,,Minnesota,College Stats
81,2006,6,201,Marvin Philip,C,,PIT,,,0,0,0,,,,California,
82,2006,7,214,Chris Morris\MorrCh21,C,23,OAK,2006,2010,0,0,1,5,51,11,Michigan St.,
83,2006,7,224,E.J. Whitley,C,,DAL,,,0,0,0,,,,Texas Tech,
84,2006,7,227,Jimmy Martin,C,,SDG,,,0,0,0,,,,Virginia Tech,
85,2005,1,26,Chris Spencer\SpenCh21,C,23,SEA,2005,2014,0,0,6,37,137,95,Mississippi,
86,2005,4,119,Eric Ghiaciuc\GhiaEr20,C,24,CIN,2005,2008,0,0,3,18,48,42,Central Michigan,
87,2005,4,122,Duke Preston\PresDu20,C,23,BUF,2005,2008,0,0,1,11,59,20,Illinois,
88,2005,4,124,Jason Brown\BrowJa23,C,22,BAL,2005,2011,0,0,6,31,100,91,North Carolina,College Stats
89,2005,5,151,Drew Hodgdon\HodgDr20,C,23,HOU,2005,2007,0,0,0,3,14,8,Arizona St.,
90,2005,5,165,Robert Hunt,C,,IND,,,0,0,0,,,,North Dakota St.,
91,2005,5,169,Geoff Hangartner\HangGe20,C,23,CAR,2005,2013,0,0,5,37,118,85,Texas A&M,
92,2005,7,242,Scott Mruczkowski\MrucSc20,C,23,SDG,2005,2011,0,0,1,16,83,16,Bowling Green,
93,2004,2,45,Jake Grove\GrovJa20,C,24,OAK,2004,2009,0,0,4,20,66,56,Virginia Tech,College Stats
94,2004,3,66,Nick Hardwick\HardNi55,C,23,SDG,2004,2014,0,1,9,68,136,136,Purdue,
95,2004,4,100,Alex Stepanovich\StepAl20,C,22,ARI,2004,2008,0,0,1,14,46,34,Ohio St.,
96,2004,6,167,Nick Leckey\LeckNi20,C,22,ARI,2004,2009,0,0,3,14,65,32,Kansas St.,College Stats
97,2004,6,190,Josh Sewell,C,,DEN,,,0,0,0,,,,Nebraska,
98,2004,6,197,Drew Caylor,C,,PIT,,,0,0,0,,,,Stanford,
99,2004,7,238,Larry Turner\TurnLa20,C,22,STL,2004,2006,0,0,0,2,21,1,East. Kentucky,
100,2004,7,239,Eugene Amano\AmanEu20,C,22,TEN,2004,2012,0,0,4,31,124,68,SE Missouri St.,
101,2004,7,243,Dominic Furio,C,,PHI,,,0,0,0,,,,UNLV,
102,2003,1,21,Jeff Faine\FainJe20,C,22,CLE,2003,2012,0,0,8,46,125,124,Notre Dame,
103,2003,2,38,Al Johnson\JohnAl22,C,24,DAL,2004,2008,0,0,3,22,66,45,Wisconsin,
104,2003,4,133,Austin King\KingAu20,C,22,TAM,2004,2006,0,0,0,3,34,1,Northwestern,
105,2003,5,142,Ryan Pontbriand\PontRy20,C,23,CLE,2003,2011,0,2,0,11,134,0,Rice,
106,2003,5,164,Dan Koppen\KoppDa20,C,23,NWE,2003,2012,0,1,9,74,136,132,Boston Col.,
107,2003,7,233,Chance Pearce,C,,HOU,,,0,0,0,,,,Texas A&M,
108,2003,7,250,Mike Mabry,C,,BAL,,,0,0,0,,,,Central Florida,
109,2002,3,76,Melvin Fowler\FowlMe20,C,23,CLE,2002,2008,0,0,4,25,88,60,Maryland,
110,2002,3,90,Seth McKinney\McKiSe20,C,23,MIA,2002,2009,0,0,3,21,93,46,Texas A&M,
111,2002,4,124,Scott Peters\PeteSc20,C,23,PHI,2003,2003,0,0,0,1,7,4,Arizona St.,
112,2002,6,179,Tyson Walter\WaltTy20,C,24,DAL,2002,2006,0,0,1,3,47,9,Ohio St.,
113,2002,6,187,Justin Hartwig\HartJu20,C,23,TEN,2002,2009,0,0,6,42,99,95,Kansas,
114,2002,7,230,Jeff Grau\GrauJe20,C,22,WAS,2002,2003,0,0,0,2,27,0,UCLA,
115,2002,7,255,Zack Quaccia,C,,TAM,,,0,0,0,,,,Stanford,
